dataset,model,metric,n_seeds,mean,sd,ci95_low,ci95_high
cadets,HistGradientBoosting,node_f1,5,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855
cadets,HistGradientBoosting,node_auroc,5,0.9084426040947781,0.0,0.9084426040947781,0.9084426040947781
cadets,HistGradientBoosting,edge_f1,5,0.47058823529411764,0.0,0.47058823529411764,0.47058823529411764
cadets,HistGradientBoosting,edge_auroc,5,0.488375,0.0,0.488375,0.488375
cadets,HistGradientBoosting,subgraph_f1,5,1.0,0.0,1.0,1.0
cadets,LogisticRegression,node_f1,5,0.12121212121212122,0.0,0.12121212121212122,0.12121212121212122
cadets,LogisticRegression,node_auroc,5,0.8872785829307569,0.0,0.8872785829307569,0.8872785829307569
cadets,LogisticRegression,edge_f1,5,0.8087431693989071,0.0,0.8087431693989071,0.8087431693989071
cadets,LogisticRegression,edge_auroc,5,0.953725,1.2412670766236366e-16,0.9537249999999999,0.9537250000000002
cadets,LogisticRegression,subgraph_f1,5,1.0,0.0,1.0,1.0
cadets,RandomForest,node_f1,5,0.23117836765070704,0.16068908823255634,0.03165651188815333,0.43070022341326075
cadets,RandomForest,node_auroc,5,0.9402346445824709,0.042996378363907094,0.8868475895148601,0.9936216996500816
cadets,RandomForest,edge_f1,5,0.3882051472588574,0.10120580334012086,0.2625415448421389,0.5138687496755759
cadets,RandomForest,edge_auroc,5,0.7173125,0.14787391007628764,0.5337027895846524,0.9009222104153476
cadets,RandomForest,subgraph_f1,5,1.0,0.0,1.0,1.0
theia,HistGradientBoosting,node_f1,5,0.9326923076923077,0.0,0.9326923076923077,0.9326923076923077
theia,HistGradientBoosting,node_auroc,5,0.9908025464591519,1.2412670766236366e-16,0.9908025464591518,0.990802546459152
theia,HistGradientBoosting,edge_f1,5,0.9847715736040609,0.0,0.9847715736040609,0.9847715736040609
theia,HistGradientBoosting,edge_auroc,5,0.999325,0.0,0.999325,0.999325
theia,HistGradientBoosting,subgraph_f1,5,0.4,0.0,0.4,0.4
theia,HistGradientBoosting,subgraph_auroc,5,0.5,0.0,0.5,0.5
theia,LogisticRegression,node_f1,5,0.9326923076923077,0.0,0.9326923076923077,0.9326923076923077
theia,LogisticRegression,node_auroc,5,0.9791598743929854,1.2412670766236366e-16,0.9791598743929852,0.9791598743929855
theia,LogisticRegression,edge_f1,5,0.9847715736040609,0.0,0.9847715736040609,0.9847715736040609
theia,LogisticRegression,edge_auroc,5,0.9896,0.0,0.9896,0.9896
theia,LogisticRegression,subgraph_f1,5,0.4,0.0,0.4,0.4
theia,LogisticRegression,subgraph_auroc,5,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667
theia,RandomForest,node_f1,5,0.9326923076923077,0.0,0.9326923076923077,0.9326923076923077
theia,RandomForest,node_auroc,5,0.9830207457487516,5.551115123125783e-17,0.9830207457487515,0.9830207457487518
