model,metric,n_seeds,mean,sd,ci95_low,ci95_high
HistGradientBoosting,node_f1,5,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855
HistGradientBoosting,node_auroc,5,0.9084426040947781,0.0,0.9084426040947781,0.9084426040947781
HistGradientBoosting,edge_f1,5,0.47058823529411764,0.0,0.47058823529411764,0.47058823529411764
HistGradientBoosting,edge_auroc,5,0.488375,0.0,0.488375,0.488375
HistGradientBoosting,subgraph_f1,5,1.0,0.0,1.0,1.0
LogisticRegression,node_f1,5,0.12121212121212122,0.0,0.12121212121212122,0.12121212121212122
LogisticRegression,node_auroc,5,0.8872785829307569,0.0,0.8872785829307569,0.8872785829307569
LogisticRegression,edge_f1,5,0.8087431693989071,0.0,0.8087431693989071,0.8087431693989071
LogisticRegression,edge_auroc,5,0.953725,1.2412670766236366e-16,0.9537249999999999,0.9537250000000002
LogisticRegression,subgraph_f1,5,1.0,0.0,1.0,1.0
RandomForest,node_f1,5,0.23117836765070704,0.16068908823255634,0.03165651188815333,0.43070022341326075
RandomForest,node_auroc,5,0.9402346445824709,0.042996378363907094,0.8868475895148601,0.9936216996500816
RandomForest,edge_f1,5,0.3882051472588574,0.10120580334012086,0.2625415448421389,0.5138687496755759
RandomForest,edge_auroc,5,0.7173125,0.14787391007628764,0.5337027895846524,0.9009222104153476
RandomForest,subgraph_f1,5,1.0,0.0,1.0,1.0
