model,seed,node_f1,node_auroc,node_threshold,edge_f1,edge_auroc,edge_threshold,subgraph_f1,subgraph_auroc,subgraph_threshold
LogisticRegression,11,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
RandomForest,11,0.6643913538111491,0.5057596513075966,0.2,0.6858710562414266,0.7083999999999999,0.5550522035940167,0.7272727272727272,0.6799999999999999,0.36
HistGradientBoosting,11,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
LogisticRegression,22,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
RandomForest,22,0.6643913538111491,0.5140964438909644,0.21000000000000002,0.6802919708029197,0.603656,0.6633951351814927,0.7692307692307693,0.52,0.39
HistGradientBoosting,22,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
LogisticRegression,33,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
RandomForest,33,0.6643913538111491,0.5137043955537106,0.21000000000000002,0.6813793103448276,0.5603279999999999,0.625,0.6666666666666666,0.5,0.05
HistGradientBoosting,33,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
LogisticRegression,44,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
RandomForest,44,0.65675057208238,0.5052061713020618,0.31666279021667953,0.6830601092896176,0.5878559999999999,0.56,0.888888888888889,0.9400000000000001,0.45000000000000007
HistGradientBoosting,44,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
LogisticRegression,55,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
RandomForest,55,0.6643913538111491,0.5136352105530188,0.22,0.6792452830188679,0.598584,0.49,0.7692307692307693,0.72,0.41000000000000003
HistGradientBoosting,55,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
