model,metric,n_seeds,mean,sd,ci95_low,ci95_high
HistGradientBoosting,node_f1,5,0.6682134570765661,0.0,0.6682134570765661,0.6682134570765661
HistGradientBoosting,node_auroc,5,0.5145461463954613,0.0,0.5145461463954613,0.5145461463954613
HistGradientBoosting,edge_f1,5,0.6576819407008087,0.0,0.6576819407008087,0.6576819407008087
HistGradientBoosting,edge_auroc,5,0.43616,0.0,0.43616,0.43616
HistGradientBoosting,subgraph_f1,5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
HistGradientBoosting,subgraph_auroc,5,0.5,0.0,0.5,0.5
LogisticRegression,node_f1,5,0.6278481012658228,0.0,0.6278481012658228,0.6278481012658228
LogisticRegression,node_auroc,5,0.8573578248235784,0.0,0.8573578248235784,0.8573578248235784
LogisticRegression,edge_f1,5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
LogisticRegression,edge_auroc,5,0.479552,0.0,0.479552,0.479552
LogisticRegression,subgraph_f1,5,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
LogisticRegression,subgraph_auroc,5,0.32,0.0,0.32,0.32
RandomForest,node_f1,5,0.6628631974653952,0.0034170614693532324,0.6586203552592501,0.6671060396715404
RandomForest,node_auroc,5,0.5104803745214704,0.004569619977331348,0.5048064419101453,0.5161543071327955
RandomForest,edge_f1,5,0.6819695459395319,0.0025978527630276266,0.6787438856910463,0.6851952061880174
RandomForest,edge_auroc,5,0.6117647999999999,0.05655798598960184,0.5415387849857982,0.6819908150142016
RandomForest,subgraph_f1,5,0.7642579642579642,0.08135461583917919,0.6632428666827574,0.865273061833171
RandomForest,subgraph_auroc,5,0.672,0.1781010948871455,0.45085828243795856,0.8931417175620415
