model,seed,node_f1,node_auroc,node_threshold,edge_f1,edge_auroc,edge_threshold,subgraph_f1,subgraph_auroc,subgraph_threshold
LogisticRegression,11,0.9326923076923077,0.9791598743929852,0.9742308927234081,0.9847715736040609,0.9896,0.9996753287826675,0.4,0.6666666666666667,0.9998064127829721
RandomForest,11,0.9326923076923077,0.9830207457487516,0.55,0.9847715736040609,0.9879499999999999,0.54,0.5,0.6666666666666667,0.88
HistGradientBoosting,11,0.9326923076923077,0.990802546459152,0.56,0.9847715736040609,0.999325,0.95,0.4,0.5,0.37
LogisticRegression,22,0.9326923076923077,0.9791598743929852,0.9742308927234081,0.9847715736040609,0.9896,0.9996753287826675,0.4,0.6666666666666667,0.9998064127829721
RandomForest,22,0.9326923076923077,0.9830207457487516,0.59,0.9847715736040609,0.9845499999999999,0.5700000000000001,0.5,0.5,0.86
HistGradientBoosting,22,0.9326923076923077,0.990802546459152,0.56,0.9847715736040609,0.999325,0.95,0.4,0.5,0.37
LogisticRegression,33,0.9326923076923077,0.9791598743929852,0.9742308927234081,0.9847715736040609,0.9896,0.9996753287826675,0.4,0.6666666666666667,0.9998064127829721
RandomForest,33,0.9326923076923077,0.9830207457487518,0.9465734496415605,0.9847715736040609,0.9837,0.64,0.6666666666666666,0.8333333333333334,0.95
HistGradientBoosting,33,0.9326923076923077,0.990802546459152,0.56,0.9847715736040609,0.999325,0.95,0.4,0.5,0.37
LogisticRegression,44,0.9326923076923077,0.9791598743929852,0.9742308927234081,0.9847715736040609,0.9896,0.9996753287826675,0.4,0.6666666666666667,0.9998064127829721
RandomForest,44,0.9326923076923077,0.9830207457487516,0.56,0.9847715736040609,0.990225,0.53,0.6666666666666666,0.6666666666666667,0.9
HistGradientBoosting,44,0.9326923076923077,0.990802546459152,0.56,0.9847715736040609,0.999325,0.95,0.4,0.5,0.37
LogisticRegression,55,0.9326923076923077,0.9791598743929852,0.9742308927234081,0.9847715736040609,0.9896,0.9996753287826675,0.4,0.6666666666666667,0.9998064127829721
RandomForest,55,0.9326923076923077,0.9830207457487516,0.5700000000000001,0.9847715736040609,0.992,0.4,0.4,0.5,0.89
HistGradientBoosting,55,0.9326923076923077,0.990802546459152,0.56,0.9847715736040609,0.999325,0.95,0.4,0.5,0.37
