model,metric,n_seeds,mean,sd,ci95_low,ci95_high
HistGradientBoosting,node_f1,5,0.9326923076923077,0.0,0.9326923076923077,0.9326923076923077
HistGradientBoosting,node_auroc,5,0.9908025464591519,1.2412670766236366e-16,0.9908025464591518,0.990802546459152
HistGradientBoosting,edge_f1,5,0.9847715736040609,0.0,0.9847715736040609,0.9847715736040609
HistGradientBoosting,edge_auroc,5,0.999325,0.0,0.999325,0.999325
HistGradientBoosting,subgraph_f1,5,0.4,0.0,0.4,0.4
HistGradientBoosting,subgraph_auroc,5,0.5,0.0,0.5,0.5
LogisticRegression,node_f1,5,0.9326923076923077,0.0,0.9326923076923077,0.9326923076923077
LogisticRegression,node_auroc,5,0.9791598743929854,1.2412670766236366e-16,0.9791598743929852,0.9791598743929855
LogisticRegression,edge_f1,5,0.9847715736040609,0.0,0.9847715736040609,0.9847715736040609
LogisticRegression,edge_auroc,5,0.9896,0.0,0.9896,0.9896
LogisticRegression,subgraph_f1,5,0.4,0.0,0.4,0.4
LogisticRegression,subgraph_auroc,5,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667
RandomForest,node_f1,5,0.9326923076923077,0.0,0.9326923076923077,0.9326923076923077
RandomForest,node_auroc,5,0.9830207457487516,5.551115123125783e-17,0.9830207457487515,0.9830207457487518
RandomForest,edge_f1,5,0.9847715736040609,0.0,0.9847715736040609,0.9847715736040609
RandomForest,edge_auroc,5,0.9876850000000001,0.0035654417678599205,0.9832579193191565,0.9921120806808438
RandomForest,subgraph_f1,5,0.5466666666666666,0.11690451944500119,0.4015105336444965,0.6918227996888368
RandomForest,subgraph_auroc,5,0.6333333333333334,0.1394433377556793,0.4601915610527384,0.8064751056139284
