model,seed,node_f1,node_auroc,node_threshold,edge_f1,edge_auroc,edge_threshold,subgraph_f1,subgraph_auroc,subgraph_threshold
LogisticRegression,11,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
RandomForest,11,0.6,1.0,0.12491507501774854,1.0,1.0,0.1,1.0,,0.05
HistGradientBoosting,11,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
LogisticRegression,22,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
RandomForest,22,0.3333333333333333,0.9967384213959556,0.25,1.0,1.0,0.1,1.0,,0.05
HistGradientBoosting,22,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
LogisticRegression,33,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
RandomForest,33,0.4,0.9908675799086758,0.28,1.0,1.0,0.15000000000000002,1.0,,0.05
HistGradientBoosting,33,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
LogisticRegression,44,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
RandomForest,44,0.8571428571428571,1.0,0.2,1.0,1.0,0.1,1.0,,0.05
HistGradientBoosting,44,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
LogisticRegression,55,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
RandomForest,55,1.0,1.0,0.2,1.0,1.0,0.1,1.0,,0.05
HistGradientBoosting,55,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
