timestamp,src_id,dst_id,src_type,dst_type,relation,edge_label,node_label,src_node_label,dst_node_label,campaign_id,campaign_label,feat_original_edge_index
1.0,darpa_theia:n0,darpa_theia:n217,type_0,type_2,rel_10,0,0,0,0,train:window_0,0,77.0
2.0,darpa_theia:n0,darpa_theia:n443,type_0,type_2,rel_10,0,0,0,0,train:window_0,0,233.0
3.0,darpa_theia:n0,darpa_theia:n449,type_0,type_2,rel_2,0,0,0,0,train:window_0,0,239.0
4.0,darpa_theia:n0,darpa_theia:n513,type_0,type_2,rel_10,0,0,0,0,train:window_0,0,296.0
5.0,darpa_theia:n13,darpa_theia:n3375,type_3,type_0,rel_7,0,0,0,0,train:window_0,0,612.0
6.0,darpa_theia:n13,darpa_theia:n7666,type_3,type_0,rel_4,0,0,0,0,train:window_0,0,643.0
7.0,darpa_theia:n13,darpa_theia:n9891,type_3,type_0,rel_7,0,0,0,0,train:window_0,0,664.0
8.0,darpa_theia:n13,darpa_theia:n25475,type_3,type_0,rel_4,0,0,0,0,train:window_0,0,699.0
9.0,darpa_theia:n13,darpa_theia:n25931,type_3,type_0,rel_4,0,0,0,0,train:window_0,0,706.0
10.0,darpa_theia:n13,darpa_theia:n36299,type_3,type_0,rel_4,0,0,0,0,train:window_0,0,758.0
11.0,darpa_theia:n13,darpa_theia:n36871,type_3,type_0,rel_7,0,0,0,0,train:window_0,0,770.0
12.0,darpa_theia:n13,darpa_theia:n41607,type_3,type_0,rel_7,0,0,0,0,train:window_0,0,795.0
13.0,darpa_theia:n13,darpa_theia:n76747,type_3,type_0,rel_4,0,0,0,0,train:window_0,0,946.0
14.0,darpa_theia:n13,darpa_theia:n107044,type_3,type_0,rel_7,0,0,0,0,train:window_0,0,1117.0
15.0,darpa_theia:n13,darpa_theia:n112722,type_3,type_0,rel_7,0,0,0,0,train:window_0,0,1138.0
16.0,darpa_theia:n13,darpa_theia:n119842,type_3,type_0,rel_4,0,0,0,0,train:window_0,0,1169.0
17.0,darpa_theia:n13,darpa_theia:n132302,type_3,type_0,rel_4,0,0,0,0,train:window_0,0,1221.0
18.0,darpa_theia:n13,darpa_theia:n137230,type_3,type_0,rel_13,0,0,0,0,train:window_0,0,1249.0
19.0,darpa_theia:n13,darpa_theia:n166045,type_3,type_0,rel_4,0,0,0,0,train:window_0,0,1350.0
20.0,darpa_theia:n13,darpa_theia:n195494,type_3,type_0,rel_4,0,0,0,0,train:window_0,0,1476.0
21.0,darpa_theia:n13,darpa_theia:n330924,type_3,type_0,rel_7,0,0,0,0,train:window_0,0,1810.0
22.0,darpa_theia:n76,darpa_theia:n335887,type_0,type_0,rel_8,0,0,0,0,train:window_0,0,1989.0
23.0,darpa_theia:n101,darpa_theia:n99790,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2079.0
24.0,darpa_theia:n116,darpa_theia:n123,type_0,type_2,rel_10,0,0,0,0,train:window_0,0,2114.0
25.0,darpa_theia:n143,darpa_theia:n68949,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2373.0
26.0,darpa_theia:n143,darpa_theia:n111538,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2480.0
27.0,darpa_theia:n143,darpa_theia:n182142,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2638.0
28.0,darpa_theia:n143,darpa_theia:n205372,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2715.0
29.0,darpa_theia:n143,darpa_theia:n229094,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2734.0
30.0,darpa_theia:n143,darpa_theia:n287373,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2815.0
31.0,darpa_theia:n143,darpa_theia:n304980,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2911.0
32.0,darpa_theia:n145,darpa_theia:n133,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2973.0
33.0,darpa_theia:n145,darpa_theia:n17060,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,2999.0
34.0,darpa_theia:n145,darpa_theia:n44833,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,3058.0
35.0,darpa_theia:n145,darpa_theia:n117076,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,3225.0
36.0,darpa_theia:n145,darpa_theia:n294901,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,3605.0
37.0,darpa_theia:n145,darpa_theia:n337347,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,3688.0
38.0,darpa_theia:n180,darpa_theia:n91761,type_0,type_1,rel_0,0,0,0,0,train:window_0,0,3863.0
39.0,darpa_theia:n180,darpa_theia:n338661,type_0,type_1,rel_0,0,0,0,0,train:window_0,0,4256.0
40.0,darpa_theia:n180,darpa_theia:n338833,type_0,type_1,rel_0,0,0,0,0,train:window_0,0,4258.0
41.0,darpa_theia:n184,darpa_theia:n91752,type_0,type_0,rel_8,0,0,0,0,train:window_0,0,4331.0
42.0,darpa_theia:n184,darpa_theia:n301689,type_0,type_0,rel_8,0,0,0,0,train:window_0,0,4503.0
43.0,darpa_theia:n184,darpa_theia:n306436,type_0,type_0,rel_8,0,0,0,0,train:window_0,0,4509.0
44.0,darpa_theia:n186,darpa_theia:n155991,type_0,type_1,rel_0,0,0,0,0,train:window_0,0,4736.0
45.0,darpa_theia:n186,darpa_theia:n220203,type_0,type_1,rel_0,0,0,0,0,train:window_0,0,4868.0
46.0,darpa_theia:n191,darpa_theia:n190316,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,5205.0
47.0,darpa_theia:n191,darpa_theia:n274213,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,5263.0
48.0,darpa_theia:n192,darpa_theia:n26646,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,5351.0
49.0,darpa_theia:n192,darpa_theia:n179826,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,5456.0
50.0,darpa_theia:n192,darpa_theia:n183317,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,5462.0
51.0,darpa_theia:n194,darpa_theia:n26656,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,5614.0
52.0,darpa_theia:n195,darpa_theia:n329895,type_1,type_0,rel_1,0,0,0,0,train:window_0,0,6105.0
