timestamp,src_id,dst_id,src_type,dst_type,relation,edge_label,node_label,src_node_label,dst_node_label,campaign_id,campaign_label,feat_original_edge_index
1.0,darpa_trace:n53,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,177.0
2.0,darpa_trace:n245,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,535.0
3.0,darpa_trace:n259,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,549.0
4.0,darpa_trace:n390,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,680.0
5.0,darpa_trace:n1019,darpa_trace:n279394,type_0,type_1,rel_1,0,0,0,0,train:window_0,0,1402.0
6.0,darpa_trace:n1019,darpa_trace:n389357,type_0,type_1,rel_1,0,0,0,0,train:window_0,0,1476.0
7.0,darpa_trace:n1019,darpa_trace:n500282,type_0,type_1,rel_1,0,0,0,0,train:window_0,0,1525.0
8.0,darpa_trace:n1019,darpa_trace:n531493,type_0,type_1,rel_1,0,0,0,0,train:window_0,0,1605.0
9.0,darpa_trace:n1019,darpa_trace:n547222,type_0,type_1,rel_1,0,0,0,0,train:window_0,0,1623.0
10.0,darpa_trace:n1049,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,1742.0
11.0,darpa_trace:n1075,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,1768.0
12.0,darpa_trace:n1128,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,1821.0
13.0,darpa_trace:n1475,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,2165.0
14.0,darpa_trace:n1873,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,2559.0
15.0,darpa_trace:n1923,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,2609.0
16.0,darpa_trace:n1991,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,2677.0
17.0,darpa_trace:n2117,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,2799.0
18.0,darpa_trace:n2184,darpa_trace:n18,type_3,type_0,rel_0,0,0,0,0,train:window_0,0,2863.0
19.0,darpa_trace:n2312,darpa_trace:n2908,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3025.0
20.0,darpa_trace:n2312,darpa_trace:n3618,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3046.0
21.0,darpa_trace:n2312,darpa_trace:n3779,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3052.0
22.0,darpa_trace:n2312,darpa_trace:n4143,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3060.0
23.0,darpa_trace:n2312,darpa_trace:n4217,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3065.0
24.0,darpa_trace:n2312,darpa_trace:n4839,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3080.0
25.0,darpa_trace:n2312,darpa_trace:n5314,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3086.0
26.0,darpa_trace:n2312,darpa_trace:n69521,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3118.0
27.0,darpa_trace:n2312,darpa_trace:n69684,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3124.0
28.0,darpa_trace:n2312,darpa_trace:n70088,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3135.0
29.0,darpa_trace:n2312,darpa_trace:n70762,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3156.0
30.0,darpa_trace:n2312,darpa_trace:n77607,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3165.0
31.0,darpa_trace:n2312,darpa_trace:n77821,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3175.0
32.0,darpa_trace:n2312,darpa_trace:n78001,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3179.0
33.0,darpa_trace:n2312,darpa_trace:n78185,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3183.0
34.0,darpa_trace:n2312,darpa_trace:n78420,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3193.0
35.0,darpa_trace:n2312,darpa_trace:n78812,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3203.0
36.0,darpa_trace:n2312,darpa_trace:n78904,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3205.0
37.0,darpa_trace:n2312,darpa_trace:n79030,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3213.0
38.0,darpa_trace:n2312,darpa_trace:n79071,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3215.0
39.0,darpa_trace:n2312,darpa_trace:n79107,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3218.0
40.0,darpa_trace:n2312,darpa_trace:n79154,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3219.0
41.0,darpa_trace:n2312,darpa_trace:n83155,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3231.0
42.0,darpa_trace:n2312,darpa_trace:n265234,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3257.0
43.0,darpa_trace:n2312,darpa_trace:n265805,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3275.0
44.0,darpa_trace:n2312,darpa_trace:n265950,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3281.0
45.0,darpa_trace:n2312,darpa_trace:n265995,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3283.0
46.0,darpa_trace:n2312,darpa_trace:n266489,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3296.0
47.0,darpa_trace:n2312,darpa_trace:n270145,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3338.0
48.0,darpa_trace:n2312,darpa_trace:n272061,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3390.0
49.0,darpa_trace:n2312,darpa_trace:n272882,type_4,type_0,rel_9,1,0,1,0,train:window_0,1,3393.0
