dataset,seed,fidelity,completeness_clipped,distance_from_completeness_ceiling,selected_edges_union,available_edges,selected_edge_union_fraction,reported_local_sparsity
cadets,11,0.0,1.0,0.0,1,500,0.002,0.9980000257492065
cadets,22,0.0,1.0,0.0,224,500,0.448,0.18000524839434717
cadets,33,0.0,1.0,0.0,125,500,0.25,0.1885460317460318
cadets,44,0.0,0.9999979734420776,2.0265579223632812e-06,224,500,0.448,0.18000524839434717
cadets,55,0.0018864076118916273,1.0,0.0,128,500,0.256,0.30935364057350556
streamspot,11,0.002543424954637885,1.0,0.0,498,500,0.996,0.002008032128514056
streamspot,22,0.0019509120611473918,1.0,0.0,498,500,0.996,0.002008032128514056
streamspot,33,0.0037637765053659678,1.0,0.0,496,500,0.992,0.0020161290322580645
streamspot,44,0.0,0.9999988675117493,1.1324882507324219e-06,498,500,0.996,0.002008032128514056
streamspot,55,0.005732258781790733,0.9999982118606567,1.7881393432617188e-06,498,500,0.996,0.002008032128514056
theia,11,0.1236502081155777,1.0,0.0,97,500,0.194,0.0
theia,22,0.13239505887031555,1.0,0.0,97,500,0.194,0.0
theia,33,0.11512728780508041,1.0,0.0,97,500,0.194,0.0
theia,44,0.14646217226982117,1.0,0.0,97,500,0.194,0.0
theia,55,0.09451842308044434,1.0,0.0,97,500,0.194,0.0
trace,11,0.0,1.0,0.0,196,500,0.392,0.06002325251029914
trace,22,0.013396521098911762,1.0,0.0,36,500,0.072,0.08007346189164372
trace,33,0.0048583075404167175,1.0,0.0,56,500,0.112,0.13939510444700756
trace,44,0.02924053743481636,1.0,0.0,30,500,0.06,0.0978675645342312
trace,55,0.00011478861415525898,1.0,0.0,6,500,0.012,0.8808080808080808
