dataset,run,seed,dataset_sha256,rows,node_f1,node_auroc,node_auprc,node_brier,node_false_alarms_per_window,edge_f1,edge_auroc,edge_auprc,edge_brier,subgraph_f1,explanation_fidelity,explanation_stability,explanation_sparsity,explanation_completeness,explanation_latency_seconds,robustness_attack_success,robustness_explanation_fidelity
cadets,evidence_work/runs/cadets/seed_11,11,b03cd41157fd4dcc550da4fce692ef6096d90744a8ee72d8ed389be389da71c5,5000,0.0,0.0522199217851392,0.006543414309667911,0.20306216603257984,15.0,0.37168141592920356,0.46819999999999995,0.17611165491511294,0.2580217666422698,1.0,0.0,1.0,0.9980000257492065,1.0,0.003439858499859838,,0.0
cadets,evidence_work/runs/cadets/seed_22,22,b03cd41157fd4dcc550da4fce692ef6096d90744a8ee72d8ed389be389da71c5,5000,0.06140350877192983,0.9751552795031055,0.7001117512395707,0.317568015368055,214.0,0.39416058394160586,0.6894250000000001,0.31499795585344104,0.3015096356698523,1.0,0.0,0.9563318490982056,0.18000524839434717,1.0,0.006481437999809714,0.0,0.0
cadets,evidence_work/runs/cadets/seed_33,33,b03cd41157fd4dcc550da4fce692ef6096d90744a8ee72d8ed389be389da71c5,5000,0.02395209580838323,0.6648263170002301,0.020089921663657116,0.26681154892915,158.0,0.6432748538011696,0.8452,0.7302669782500084,0.21925224273734437,1.0,0.0,0.9532442092895508,0.1885460317460318,1.0,0.006421599000077549,0.0,0.0
cadets,evidence_work/runs/cadets/seed_44,44,b03cd41157fd4dcc550da4fce692ef6096d90744a8ee72d8ed389be389da71c5,5000,0.02204724409448819,0.15343915343915343,0.007426244854554406,0.2719025178836492,621.0,0.333889816360601,0.5318,0.19192855888122023,0.24377613609342885,1.0,0.0,0.9737214744091034,0.18000524839434717,0.9999979734420776,0.00774173450008675,0.0,0.0
cadets,evidence_work/runs/cadets/seed_55,55,b03cd41157fd4dcc550da4fce692ef6096d90744a8ee72d8ed389be389da71c5,5000,0.10852713178294575,0.9797561536691971,0.7195175438596491,0.2190308617490884,115.0,0.42857142857142855,0.644375,0.2403628505849844,0.22057302865061176,1.0,0.0018864076118916273,0.9035824835300446,0.30935364057350556,1.0,0.004982392999863805,0.1428571492433548,0.0018886197358369827
streamspot,evidence_work/runs/streamspot/seed_11,11,6a719414938da3df99ad7a573eb378db8eb4ef6e071c076667c73431a558c00f,5000,0.6605293440736479,0.4338187814215212,0.48270119528183575,0.25172383033854173,290.0,0.6666666666666666,0.5298879999999999,0.5582167415815031,0.24680918964661003,0.7499999999999999,0.002543424954637885,1.0,0.002008032128514056,1.0,0.01529828950015144,0.0,0.0026899802032858133
streamspot,evidence_work/runs/streamspot/seed_22,22,6a719414938da3df99ad7a573eb378db8eb4ef6e071c076667c73431a558c00f,5000,0.662883087400681,0.5546561505465616,0.5241389802258019,0.25090818211409854,297.0,0.6106194690265487,0.310272,0.4042644933362528,0.2567484911748771,0.0,0.0019509120611473918,1.0,0.002008032128514056,1.0,0.015395333000014944,0.0,0.001701819070149213
streamspot,evidence_work/runs/streamspot/seed_33,33,6a719414938da3df99ad7a573eb378db8eb4ef6e071c076667c73431a558c00f,5000,0.6643913538111491,0.5077660163276603,0.5240334852860089,0.25019791337548875,295.0,0.6666666666666666,0.7223519999999999,0.7687289649091835,0.24288742003147917,0.0,0.0037637765053659678,1.0,0.0020161290322580645,1.0,0.010313057000075787,0.0,0.0034544429508969188
streamspot,evidence_work/runs/streamspot/seed_44,44,6a719414938da3df99ad7a573eb378db8eb4ef6e071c076667c73431a558c00f,5000,0.662883087400681,0.6119586273695863,0.5541127630677719,0.25040657000541444,297.0,0.664886515353805,0.481408,0.5429355350470584,0.24973826261876833,0.5714285714285714,0.0,1.0,0.002008032128514056,0.9999988675117493,0.01536652499999036,0.0,0.0
streamspot,evidence_work/runs/streamspot/seed_55,55,6a719414938da3df99ad7a573eb378db8eb4ef6e071c076667c73431a558c00f,5000,0.662883087400681,0.5116692034500253,0.5299483664296407,0.2503295700249477,297.0,0.6666666666666666,0.417552,0.5098370640023517,0.25143135203012973,0.6666666666666666,0.005732258781790733,1.0,0.002008032128514056,0.9999982118606567,0.010994986999776302,0.0,0.005230767419561744
theia,evidence_work/runs/theia/seed_11,11,c3456345a985724380b1b073451133302d83b316d3a3c1841da8245ff8a79cba,5000,0.9797979797979798,0.9871904868129794,0.9787440282489788,0.20940751856638942,0.0,0.9743589743589743,0.9764,0.9772503980701632,0.21114294296670466,0.6666666666666666,0.1236502081155777,1.0,0.0,1.0,0.004393861499920604,0.3865979164838791,0.12364954501390457
theia,evidence_work/runs/theia/seed_22,22,c3456345a985724380b1b073451133302d83b316d3a3c1841da8245ff8a79cba,5000,0.9797979797979798,0.9625495478490657,0.9665360911498397,0.19400444143607612,0.0,0.9690721649484536,0.988425,0.9817485211009355,0.23786910733179104,0.5,0.13239505887031555,1.0,0.0,1.0,0.00456899600021643,0.3865979164838791,0.13239414244890213
theia,evidence_work/runs/theia/seed_33,33,c3456345a985724380b1b073451133302d83b316d3a3c1841da8245ff8a79cba,5000,0.9797979797979798,0.9641968529608593,0.9669393708316227,0.2709304540564697,0.0,0.9690721649484536,0.998975,0.9963945167227619,0.15545396090809327,0.5,0.11512728780508041,1.0,0.0,1.0,0.004703384999629634,0.3865979164838791,0.11512410268187523
theia,evidence_work/runs/theia/seed_44,44,c3456345a985724380b1b073451133302d83b316d3a3c1841da8245ff8a79cba,5000,0.9797979797979798,0.9792113526777287,0.9702174840896731,0.22319189838227274,0.0,0.9795918367346939,0.987575,0.9813300106724708,0.24021686882220927,0.6666666666666666,0.14646217226982117,1.0,0.0,1.0,0.005834899999626941,0.3865979164838791,0.14646486937999725
theia,evidence_work/runs/theia/seed_55,55,c3456345a985724380b1b073451133302d83b316d3a3c1841da8245ff8a79cba,5000,0.9797979797979798,0.9827118760402904,0.9770463347704634,0.21737110922621553,0.0,0.9795918367346939,0.9855,0.9800706482671375,0.20699378651806935,0.5,0.09451842308044434,1.0,0.0,1.0,0.0036692285002573044,0.3865979164838791,0.094514649361372
trace,evidence_work/runs/trace/seed_11,11,12826648fe873d5b0f94a41484d3fac5999a527f26feca67ededefc8eda49dce,5000,0.013544018058690745,0.4474885844748859,0.0069571556671751255,0.19059089689594444,437.0,0.9166666666666666,1.0,1.0,0.13956776175953298,1.0,0.0,0.989847719669342,0.06002325251029914,1.0,0.006337259500469372,0.0,0.0
trace,evidence_work/runs/trace/seed_22,22,12826648fe873d5b0f94a41484d3fac5999a527f26feca67ededefc8eda49dce,5000,0.16666666666666669,0.9510763209393346,0.0732261565594899,0.21551412840993384,30.0,0.8817204301075269,0.999742445054945,0.9977125378174047,0.25678397525394697,1.0,0.013396521098911762,0.972972959280014,0.08007346189164372,1.0,0.004165923499840574,0.0,0.008841817267239094
trace,evidence_work/runs/trace/seed_33,33,12826648fe873d5b0f94a41484d3fac5999a527f26feca67ededefc8eda49dce,5000,0.0,0.10306588388780172,0.004291420561927646,0.2778710017679781,79.0,0.6133333333333333,1.0,1.0000000000000002,0.155789134707493,1.0,0.0048583075404167175,0.7930327951908112,0.13939510444700756,1.0,0.004421031999754632,,0.0048583392053842545
trace,evidence_work/runs/trace/seed_44,44,12826648fe873d5b0f94a41484d3fac5999a527f26feca67ededefc8eda49dce,5000,0.19999999999999998,0.9569471624266145,0.08227053140096618,0.2144708542914791,24.0,0.0,0.9714972527472527,0.6559605476209426,0.1616506449446925,1.0,0.02924053743481636,1.0,0.0978675645342312,1.0,0.003846846499982348,0.0,0.029420217499136925
trace,evidence_work/runs/trace/seed_55,55,12826648fe873d5b0f94a41484d3fac5999a527f26feca67ededefc8eda49dce,5000,1.0,1.0,1.0,0.22478180987090712,0.0,0.8125000000000001,0.997810782967033,0.9849991438271452,0.22624746102609702,1.0,0.00011478861415525898,0.6666666716337204,0.8808080808080808,1.0,0.003484344999833411,0.0,0.0001182854175567627
