dataset,metric,n_seeds,mean,sd,ci95_low,ci95_high
cadets,node_f1,5,0.0431859960915494,0.04267072121553797,-0.00979670221917376,0.09616869440227255
cadets,node_auroc,5,0.5650793650793651,0.44230674351020466,0.01588300549999655,1.1142757246587336
cadets,node_auprc,5,0.2907377751854198,0.38266214239281676,-0.18440003049926407,0.7658755808701037
cadets,node_brier,5,0.25567502199250447,0.04563168739017501,0.19901579858283538,0.3123342454021736
cadets,node_false_alarms_per_window,5,224.6,233.2515809164002,-65.02009054800683,514.2200905480069
cadets,edge_f1,5,0.4343156197208017,0.12177619800580095,0.28311049881886535,0.5855207406227381
cadets,edge_auroc,5,0.6357999999999999,0.14637562233001777,0.4540506595381455,0.8175493404618543
cadets,edge_auprc,5,0.33073359969695343,0.22979131213136786,0.04541000032342957,0.6160571990704773
cadets,edge_brier,5,0.24862656195870142,0.03375747083256515,0.20671112575549155,0.2905419981619113
cadets,subgraph_f1,5,1.0,0.0,1.0,1.0
cadets,explanation_fidelity,5,0.0003772815223783255,0.0008436271306925439,-0.00067021991371055,0.0014247829584672009
cadets,explanation_stability,5,0.9573760032653809,0.035340784758698555,0.9134946231622365,1.0012573833685252
cadets,explanation_sparsity,5,0.37118203897148766,0.3546747034405402,-0.06920477136422865,0.811568849307204
cadets,explanation_completeness,5,0.9999995946884155,9.063042549490076e-07,0.9999984693630507,1.0000007200137804
cadets,explanation_latency_seconds,5,0.0058134045999395315,0.0016476442747273363,0.0037675840221640423,0.00785922517771502
cadets,robustness_attack_success,4,0.0357142873108387,0.0714285746216774,-0.07794451438740055,0.14937308900907795
cadets,robustness_explanation_fidelity,5,0.00037772394716739655,0.0008446164225958378,-0.0006710058570615135,0.0014264537513963066
streamspot,node_f1,5,0.6627139920173681,0.00138491957990439,0.6609943872345934,0.6644335968001429
streamspot,node_auroc,5,0.5239737558230709,0.06562156506252556,0.44249382097914686,0.6054536906669951
streamspot,node_auprc,5,0.5229869580582118,0.02570331691044243,0.4910720748160934,0.5549018413003303
streamspot,node_brier,5,0.2507132131716982,0.0006257207687679479,0.24993627822019066,0.25149014812320575
streamspot,node_false_alarms_per_window,5,295.2,3.03315017762062,291.4338466233031,298.96615337669687
streamspot,edge_f1,5,0.6551011968760707,0.024877986477110585,0.6242110967196424,0.6859912970324991
streamspot,edge_auroc,5,0.4922944,0.15262443467806847,0.30278613421403994,0.6818026657859602
streamspot,edge_auprc,5,0.55679655977527,0.13283515611852117,0.3918599287271255,0.7217331908234145
streamspot,edge_brier,5,0.24952294310037285,0.005179081876181807,0.24309226359096828,0.2559536226097774
streamspot,subgraph_f1,5,0.39761904761904754,0.36843266737015534,-0.059850531216657954,0.855088626454753
streamspot,explanation_fidelity,5,0.0027980744605883958,0.0021303620149508463,0.00015288064348309557,0.0054432682776936955
streamspot,explanation_stability,5,1.0,0.0,1.0,1.0
streamspot,explanation_sparsity,5,0.002009651509262858,3.6210454357750765e-06,0.002005155387509396,0.00201414763101632
