dataset,seed,epochs_completed,best_epoch,best_validation_loss,best_at_maximum_epoch
cadets,11,4,1,3.9907360076904297,False
cadets,22,4,1,4.004524230957031,False
cadets,33,4,1,4.092797756195068,False
cadets,44,4,1,3.9496190547943115,False
cadets,55,4,1,3.9214553833007812,False
streamspot,11,8,6,2.898261547088623,False
streamspot,22,4,1,2.9281158447265625,False
streamspot,33,8,8,2.8998360633850098,True
streamspot,44,8,8,2.9063608646392822,True
streamspot,55,8,8,2.90757155418396,True
theia,11,8,8,3.5228304862976074,True
theia,22,8,8,3.616391897201538,True
theia,33,8,8,3.6292340755462646,True
theia,44,8,8,3.5814685821533203,True
theia,55,8,8,3.57633900642395,True
trace,11,8,8,3.1758782863616943,True
trace,22,8,8,3.20534086227417,True
trace,33,8,8,3.251187324523926,True
trace,44,8,8,3.1423120498657227,True
trace,55,8,8,3.295053243637085,True
