configuration,seed,node_f1,edge_auroc,subgraph_f1,fidelity,stability,completeness,latency_seconds
full,11,0.0,0.46772500000000006,1.0,0.0,1.0,1.0,0.004981489499868985
full,22,0.06140350877192982,0.689825,1.0,0.0,0.9496297717094422,1.0,0.014326977499877103
full,33,0.024844720496894408,0.8452999999999999,1.0,0.0,0.9704353928565979,1.0,0.009758860500141964
full,44,0.02204724409448819,0.53155,1.0,0.0,0.9530039668083191,0.9999980330467224,0.019830420499829415
full,55,0.10852713178294573,0.64365,1.0,0.0018157284939661622,0.9023759961128235,1.0,0.011979576000157977
full,66,0.1875,0.30895,1.0,3.584121441235766e-05,0.9751923084259033,1.0,0.008974635000186026
full,77,0.0,0.140975,1.0,0.0024423401337116957,1.0,0.9996428489685059,0.006008417999964877
full,88,0.2,0.654425,1.0,2.7753272661357187e-05,0.8796155691146851,1.0,0.012573716499900911
full,99,0.09333333333333334,0.451475,1.0,0.0019798099528998137,0.9867019891738892,1.0,0.02644986199993582
full,110,0.47619047619047616,0.783675,1.0,1.0145561645913403e-05,0.808432149887085,1.0,0.010053053000092405
minus_temporal_stream,11,0.0,0.7698,1.0,0.0,0.8,1.0,0.005650642999853517
minus_temporal_stream,22,0.0625,0.7199,1.0,0.00011332738358760253,0.9578788638114929,1.0,0.020465367000042534
minus_temporal_stream,33,0.02443280977312391,0.8466,1.0,0.0,0.8929672956466674,1.0,0.013865328000065347
minus_temporal_stream,44,0.02204724409448819,0.54235,1.0,0.0,0.9684351563453675,0.9999950528144836,0.03210445900003833
minus_temporal_stream,55,0.09523809523809523,0.6636,1.0,0.0006374390795826912,0.9062445998191834,1.0,0.020378624499926445
minus_temporal_stream,66,0.2,0.31175,1.0,3.653314706753008e-05,0.9733333110809326,1.0,0.0063574404998689715
minus_temporal_stream,77,0.003838771593090211,0.187375,1.0,0.0,0.9889568448066711,0.9999983310699463,0.011477213000262054
minus_temporal_stream,88,0.26666666666666666,0.8112750000000001,1.0,1.1748388715204783e-06,0.931497585773468,0.9999889731407166,0.0058431049999398965
minus_temporal_stream,99,0.11009174311926606,0.4789375,1.0,0.0011899620294570923,0.9741067886352539,0.999996542930603,0.009579527000141752
minus_temporal_stream,110,0.5,0.792175,1.0,0.0,0.8358893275260926,1.0,0.00549869649989887
minus_heterogeneous_stream,11,0.0,0.465075,1.0,0.0,1.0,1.0,0.008671520000007149
minus_heterogeneous_stream,22,0.061946902654867256,0.6964750000000001,1.0,0.0,0.9529892444610596,0.9999776482582092,0.011605597000198031
minus_heterogeneous_stream,33,0.018018018018018018,0.845325,1.0,0.0,0.9942857146263122,0.9999951720237732,0.008213469499878556
minus_heterogeneous_stream,44,0.02204724409448819,0.535525,1.0,0.00037407895433716476,0.9649574398994446,1.0,0.015910147499880622
minus_heterogeneous_stream,55,0.10606060606060606,0.6438250000000001,1.0,0.0010630147298797965,0.8746179699897766,1.0,0.01072238700021444
minus_heterogeneous_stream,66,0.1111111111111111,0.3046,1.0,0.00019558388157747686,1.0,0.9999980926513672,0.008594162999997934
minus_heterogeneous_stream,77,0.0,0.14174999999999996,1.0,,,,
minus_heterogeneous_stream,88,0.1320754716981132,0.66705,1.0,0.0,0.9591194868087769,0.9999983906745911,0.01768888599985985
minus_heterogeneous_stream,99,0.08588957055214724,0.4808,1.0,0.002065231092274189,0.97474684715271,0.9999671578407288,0.02205916249999973
minus_heterogeneous_stream,110,0.43478260869565216,0.809725,1.0,0.0,0.7779259085655212,0.9998925924301147,0.005695445500123242
