configuration,metric,n_seeds,mean,sd,ci95_low,ci95_high
full,node_f1,10,0.11738464146700678,0.14509960583969528,0.013586636375959374,0.2211826465580542
full,edge_auroc,10,0.551755,0.21685236554957027,0.39662816272803986,0.7068818372719601
full,subgraph_f1,10,1.0,0.0,1.0,1.0
full,fidelity,10,0.0006311618629297299,0.0010110526714044383,-9.210164785952409e-05,0.001354425373718984
full,stability,10,0.9425387144088747,0.061567683438713834,0.8984958468763751,0.9865815819413744
full,completeness,10,0.9999640882015228,0.00011287365380217244,0.9998833432537733,1.0000448331492724
full,latency_seconds,10,0.012493700849995548,0.00646826157771248,0.00786658526075422,0.017120816439236877
minus_consistency_regularization,node_f1,10,0.11711058166578454,0.1456041510582476,0.012951646668271269,0.2212695166632978
minus_consistency_regularization,edge_auroc,10,0.58625,0.2282624473300659,0.4229608819286723,0.7495391180713278
minus_consistency_regularization,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_consistency_regularization,fidelity,9,0.0006317000762565942,0.0009374212239871958,-8.886566339094714e-05,0.0013522658159041356
minus_consistency_regularization,stability,9,0.9364581121338738,0.0707120812143238,0.8821039949041659,0.9908122293635816
minus_consistency_regularization,completeness,9,0.9999276200930277,0.000213646977198663,0.9997633964887297,1.0000918436973256
minus_consistency_regularization,latency_seconds,9,0.017312509666680853,0.0076389608244915135,0.011440684583367501,0.023184334749994207
minus_gating_mechanism,node_f1,10,0.08103590588538569,0.11441411085097003,-0.0008110184523488773,0.16288283022312025
minus_gating_mechanism,edge_auroc,10,0.5441974999999999,0.2632917787492508,0.35584990778642306,0.7325450922135768
minus_gating_mechanism,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_gating_mechanism,fidelity,10,0.0012958672865352127,0.0028886035121746005,-0.0007705151845100048,0.00336224975758043
minus_gating_mechanism,stability,10,0.9448140060901642,0.06799010353765167,0.8961768159868445,0.9934511961934839
minus_gating_mechanism,completeness,10,0.9999575614929199,0.00010668858463013104,0.9998812410771165,1.0000338819087233
minus_gating_mechanism,latency_seconds,10,0.012715383900012967,0.004829614960852875,0.009260485484587622,0.016170282315438312
minus_heterogeneous_stream,node_f1,10,0.09719315328850034,0.12807743091182885,0.005572078586742885,0.1888142279902578
minus_heterogeneous_stream,edge_auroc,10,0.5590150000000002,0.22033298827507022,0.4013982752242752,0.7166317247757251
minus_heterogeneous_stream,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_heterogeneous_stream,fidelity,9,0.000410878739785403,0.0007118616306891729,-0.0001363065482354015,0.0009580640278062075
minus_heterogeneous_stream,stability,9,0.9442936235004002,0.07321913632299157,0.8880124131214349,1.0005748338793656
minus_heterogeneous_stream,completeness,9,0.9999810059865316,3.517310440541158e-05,0.9999539695451294,1.0000080424279338
minus_heterogeneous_stream,latency_seconds,9,0.012128975333351062,0.005329649261639823,0.008032244254507975,0.01622570641219415
minus_joint_optimization,node_f1,10,0.11679877899034552,0.14521363818596383,0.01291920007289088,0.22067835790780016
