epoch,train_loss,validation_loss,train_total,train_node,train_edge,train_link_contrastive,train_subgraph,train_explanation,train_importance_alignment,train_temporal_consistency,train_cross_layer_consistency,validation_total,validation_node,validation_edge,validation_link_contrastive,validation_subgraph,validation_explanation,validation_importance_alignment,validation_temporal_consistency,validation_cross_layer_consistency
1,9.7506685256958,3.950136184692383,9.7506685256958,1.3602832555770874,1.1175073385238647,1.8610894680023193,0.5877335071563721,1.4558898210525513,1.1141388416290283,93.5692138671875,0.00021738109353464097,3.950136184692383,1.3349350690841675,1.135866641998291,0.6812354922294617,0.6282930374145508,1.6980493068695068,1.1136924028396606,0.0,4.620395338861272e-05
2,12.96212387084961,4.074652671813965,12.96212387084961,1.3855493068695068,1.0594651699066162,1.6443772315979004,0.5820702314376831,1.135536551475525,1.046832799911499,163.5420379638672,0.0002758049813564867,4.074652671813965,1.3203904628753662,1.1354142427444458,0.7820765972137451,0.6621764302253723,1.745941162109375,1.1144864559173584,0.0,5.090545164421201e-05
3,10.148334503173828,4.241633892059326,10.148334503173828,1.28775155544281,1.0577788352966309,1.5922602415084839,0.5850118398666382,1.0829453468322754,1.0196067094802856,110.34461212158203,0.00031252368353307247,4.241633892059326,1.3217580318450928,1.1339926719665527,0.9321174621582031,0.6544874906539917,1.9927737712860107,1.1181862354278564,0.0,5.38939239049796e-05
4,4.511778354644775,4.161160945892334,4.511778354644775,1.3025381565093994,1.0039174556732178,1.5137871503829956,0.5694004893302917,1.027604103088379,0.9656491279602051,0.38735198974609375,0.00036235281731933355,4.161160945892334,1.3186982870101929,1.1349635124206543,0.8515651226043701,0.6534473299980164,2.024857521057129,1.121331810951233,0.0,5.302373392623849e-05
5,4.338133811950684,4.13175106048584,4.338133811950684,1.3210482597351074,1.0081572532653809,1.3220226764678955,0.5632492303848267,1.0541530847549438,0.9958813190460205,0.3646699786186218,0.0003715425846166909,4.13175106048584,1.3196905851364136,1.1373403072357178,0.8204805254936218,0.6533838510513306,2.008543014526367,1.1256084442138672,0.0,6.19816200924106e-05
6,4.357329845428467,4.100615501403809,4.357329845428467,1.2481307983398438,0.979237973690033,1.4383310079574585,0.5777655243873596,0.9896427989006042,0.9299591779708862,0.29784685373306274,0.0003928195219486952,4.100615501403809,1.3248664140701294,1.1400251388549805,0.7864293456077576,0.6510113477706909,1.9828176498413086,1.1331944465637207,0.0,6.866200419608504e-05
7,4.248210430145264,4.052433967590332,4.248210430145264,1.2137062549591064,0.9611510038375854,1.4036486148834229,0.5622620582580566,0.9859230518341064,0.9290430545806885,0.17681072652339935,0.0004691405047196895,4.052433967590332,1.3293538093566895,1.1433650255203247,0.7380659580230713,0.6466604471206665,1.9498730897903442,1.1418778896331787,0.0,7.88173929322511e-05
8,8.011085510253906,4.524374961853027,8.011085510253906,1.2210357189178467,0.9116837382316589,1.347962737083435,0.5513350963592529,0.970910370349884,0.916031002998352,77.63932800292969,0.0005389206344261765,4.524374961853027,1.3395415544509888,1.1398561000823975,1.1913186311721802,0.6628970503807068,1.9075943231582642,1.1458884477615356,0.0,8.634640107629821e-05
9,6.122757911682129,6.638049602508545,6.122757911682129,0.605077862739563,0.9162260890007019,1.3024520874023438,0.5619457960128784,0.9352866411209106,0.8823312520980835,52.87031173706055,0.0005944309523329139,6.638049602508545,1.326327919960022,1.1398041248321533,3.222485303878784,0.770591139793396,1.7883883714675903,1.1408817768096924,0.0,9.319084347225726e-05
10,6.695974349975586,7.33896541595459,6.695974349975586,1.2040225267410278,0.9096153974533081,1.385195255279541,0.5465028285980225,0.9214366674423218,0.8652887344360352,51.16964340209961,0.0006390551570802927,7.33896541595459,1.333459496498108,1.139978289604187,3.9041130542755127,0.7852435111999512,1.7616899013519287,1.145354151725769,0.0,9.9928533018101e-05
11,3.434487819671631,6.321935176849365,3.434487819671631,0.5949175357818604,0.9296897649765015,1.2616621255874634,0.5437282919883728,0.8989569544792175,0.8431513905525208,0.2916177213191986,0.0006674491451121867,6.321935176849365,1.3373723030090332,1.1445175409317017,2.9067447185516357,0.7569350004196167,1.7636290788650513,1.1498247385025024,0.0,0.00011333455768181011
