epoch,train_loss,validation_loss,train_total,train_node,train_edge,train_link_contrastive,train_subgraph,train_explanation,train_importance_alignment,train_temporal_consistency,train_cross_layer_consistency,validation_total,validation_node,validation_edge,validation_link_contrastive,validation_subgraph,validation_explanation,validation_importance_alignment,validation_temporal_consistency,validation_cross_layer_consistency
1,18.545148849487305,4.2343573570251465,18.545148849487305,1.456050992012024,1.146124005317688,1.468567967414856,0.5854146480560303,4.22612190246582,1.1281752586364746,269.32757568359375,0.0,4.2343573570251465,1.290802001953125,1.1112980842590332,0.8903753757476807,0.7248220443725586,2.1705939769744873,1.092329740524292,0.0,0.0
2,25.106203079223633,6.367401599884033,25.106203079223633,1.4309111833572388,1.1153053045272827,1.4198298454284668,0.5799952149391174,2.4958291053771973,1.0855672359466553,406.2115783691406,0.0,6.367401599884033,1.2998175621032715,1.1093016862869263,3.0990607738494873,0.6974595189094543,1.6176223754882812,1.0899990797042847,0.0,0.0
3,14.911552429199219,7.339102268218994,14.911552429199219,1.3641529083251953,1.0765196084976196,1.6849138736724854,0.5905506610870361,1.3896007537841797,1.015008807182312,201.1291046142578,0.0,7.339102268218994,1.3127787113189697,1.1074246168136597,4.086707592010498,0.6828714609146118,1.4932023286819458,1.0878546237945557,0.0,0.0
4,4.612510681152344,6.330162525177002,4.612510681152344,1.4107004404067993,1.0584295988082886,1.415560007095337,0.586480975151062,1.1144461631774902,1.0166280269622803,0.597902774810791,0.0,6.330162525177002,1.3045783042907715,1.1058160066604614,3.075741767883301,0.6855670809745789,1.5845972299575806,1.0905630588531494,0.0,0.0
5,4.589568614959717,5.590311527252197,4.589568614959717,1.4317195415496826,1.0171787738800049,1.438135027885437,0.5859187841415405,1.0119926929473877,0.9448785781860352,0.30833786725997925,0.0,5.590311527252197,1.3008280992507935,1.1056700944900513,2.325315475463867,0.6874724626541138,1.710258960723877,1.0927181243896484,0.0,0.0
6,4.560876369476318,5.102295398712158,4.560876369476318,1.4210323095321655,0.9868460297584534,1.4559663534164429,0.5817340016365051,0.9668278098106384,0.9062319993972778,0.3722970187664032,0.0,5.102295398712158,1.3015962839126587,1.1051313877105713,1.825380802154541,0.6869922876358032,1.8319475650787354,1.098705530166626,0.0,0.0
7,4.5900163650512695,4.685153484344482,4.5900163650512695,1.5083575248718262,0.9586023092269897,1.4384973049163818,0.5789898633956909,0.9615122675895691,0.9027933478355408,0.18835753202438354,0.0,4.685153484344482,1.3056676387786865,1.105956792831421,1.3918654918670654,0.6870973706245422,1.9456642866134644,1.1061370372772217,0.0,0.0
8,10.342992782592773,8.92168140411377,10.342992782592773,1.2955670356750488,0.9208964109420776,1.276254415512085,0.5823969841003418,0.9424788951873779,0.8820871114730835,123.47260284423828,0.0,8.92168140411377,1.3632973432540894,1.1066957712173462,5.606834888458252,0.6525575518608093,1.9229631423950195,1.1150144338607788,0.0,0.0
9,11.097089767456055,20.744731903076172,11.097089767456055,1.369399905204773,0.8876247406005859,1.4704604148864746,0.5765792727470398,0.9007472991943359,0.839678168296814,134.0590057373047,0.0,20.744731903076172,1.4632899761199951,1.1045418977737427,17.361862182617188,0.6220941543579102,1.9294410943984985,1.1174290180206299,0.0,0.0
10,8.106378555297852,25.91818618774414,8.106378555297852,1.401835322380066,0.9178704619407654,1.2477506399154663,0.5700757503509521,0.9297200441360474,0.8654458522796631,77.5174789428711,0.0,25.91818618774414,1.5017833709716797,1.1020268201828003,22.496492385864258,0.6224872469902039,1.953950047492981,1.1267651319503784,0.0,0.0
11,4.013391971588135,18.061203002929688,4.013391971588135,1.3013460636138916,0.9151741862297058,1.1210947036743164,0.5718942880630493,0.9188441634178162,0.8544343709945679,0.2399638295173645,0.0,18.061203002929688,1.4493703842163086,1.10443913936615,14.671252250671387,0.6339584589004517,2.021824836730957,1.1380889415740967,0.0,0.0
