configuration,metric,n_seeds,mean,sd,ci95_low,ci95_high
full,node_f1,10,0.6654140873137766,0.010795834327825013,0.6576912126716518,0.6731369619559014
full,edge_auroc,10,0.49337759999999997,0.05802037389898289,0.45187232484436246,0.5348828751556375
full,subgraph_f1,10,0.6931818181818182,0.2589564073534984,0.5079355638361406,0.8784280725274959
full,fidelity,10,0.006273171259090304,0.005813985337881898,0.0021140966964243004,0.010432245821756309
full,stability,10,1.0,0.0,1.0,1.0
full,completeness,10,0.9999959766864777,3.934433328635809e-06,0.999993162162425,0.9999987912105304
full,latency_seconds,10,0.02876093055006095,0.014029876980147746,0.018724561162393405,0.03879729993772849
minus_consistency_regularization,node_f1,10,0.6658062339416296,0.010995006008063076,0.6579408804625727,0.6736715874206866
minus_consistency_regularization,edge_auroc,10,0.4955456,0.058116277473508025,0.45397171956001864,0.5371194804399813
minus_consistency_regularization,subgraph_f1,10,0.6975468975468976,0.2692642239265589,0.5049268754302022,0.890166919663593
minus_consistency_regularization,fidelity,10,0.006461760913953185,0.0058798774311942855,0.0022555499872873013,0.01066797184061907
minus_consistency_regularization,stability,10,1.0,0.0,1.0,1.0
minus_consistency_regularization,completeness,10,0.9999959170818329,4.063159250189903e-06,0.9999930104728032,0.9999988236908626
minus_consistency_regularization,latency_seconds,10,0.03281269124997834,0.010431642216141377,0.02535034395004648,0.04027503854991021
minus_gating_mechanism,node_f1,10,0.6625928110499247,0.006900055778596667,0.6576568084971228,0.6675288136027266
minus_gating_mechanism,edge_auroc,10,0.4978576,0.07756867049581864,0.4423683158738532,0.5533468841261469
minus_gating_mechanism,subgraph_f1,10,0.6807536907536909,0.11055625029059972,0.601666513610089,0.7598408678972927
minus_gating_mechanism,fidelity,10,0.01199056594632566,0.013932888861804342,0.00202357767891217,0.02195755421373915
minus_gating_mechanism,stability,10,0.9998396801948548,0.0005069757382934009,0.999477011599307,1.0002023487904026
minus_gating_mechanism,completeness,10,0.9999967992305756,5.606432165721565e-06,0.999992788630608,1.0000008098305433
minus_gating_mechanism,latency_seconds,10,0.02674330389995703,0.009459981536164678,0.01997604077770665,0.03351056702220741
minus_heterogeneous_stream,node_f1,10,0.6629795916962086,0.002809417226623184,0.6609698556813908,0.6649893277110264
minus_heterogeneous_stream,edge_auroc,10,0.5047248,0.08696422618372071,0.44251434022708047,0.5669352597729195
minus_heterogeneous_stream,subgraph_f1,10,0.47449883449883445,0.2804271307244872,0.2738933499135342,0.6751043190841347
minus_heterogeneous_stream,fidelity,10,0.0077779483515769245,0.008198034899947592,0.0019134274705108877,0.013642469232642961
minus_heterogeneous_stream,stability,10,0.9998396801948548,0.0005069757382934009,0.999477011599307,1.0002023487904026
minus_heterogeneous_stream,completeness,10,0.9999991297721863,1.619765284600747e-06,0.9999979710619039,1.0000002884824688
minus_heterogeneous_stream,latency_seconds,10,0.03289722419997361,0.010209665928759416,0.02559366917018216,0.04020077922976506
minus_joint_optimization,node_f1,10,0.6673198979600311,0.011061707433133222,0.6594068291559122,0.67523296676415
minus_joint_optimization,edge_auroc,10,0.489256,0.058736329670069705,0.447238560939146,0.531273439060854
minus_joint_optimization,subgraph_f1,10,0.7971717171717172,0.10437580101282469,0.7225057671009731,0.8718376672424613
minus_joint_optimization,fidelity,10,0.009814265699242241,0.01012128855911194,0.0025739320311596375,0.017054599367324844
minus_joint_optimization,stability,10,1.0,0.0,1.0,1.0
minus_joint_optimization,completeness,10,0.9999960541725159,3.7594316868126874e-06,0.9999933648370962,0.9999987435079356
minus_joint_optimization,latency_seconds,10,0.02449705055000777,0.004904905266806392,0.02098829269426593,0.02800580840574961
minus_prototype_learning,node_f1,10,0.6634829149209448,0.004359509280668208,0.6603643098503756,0.666601519991514
minus_prototype_learning,edge_auroc,10,0.49128159999999993,0.05570868147624948,0.45143000998344485,0.531133190016555
minus_prototype_learning,subgraph_f1,10,0.8105050505050505,0.09383639647591865,0.7433785362546008,0.8776315647555002
minus_prototype_learning,fidelity,10,0.010133263331954367,0.01027051652562554,0.0027861784074623003,0.017480348256446433
minus_prototype_learning,stability,10,1.0,0.0,1.0,1.0
minus_prototype_learning,completeness,10,0.9999969303607941,4.801391640842714e-06,0.9999934956521255,1.0000003650694627
minus_prototype_learning,latency_seconds,10,0.026069558150129523,0.007038192312445635,0.021034738673871897,0.03110437762638715
minus_temporal_attention,node_f1,10,0.6620374662499059,0.0013640283845450468,0.6610616991250816,0.6630132333747302
minus_temporal_attention,edge_auroc,10,0.4915071999999999,0.058104093343661185,0.44994203556144774,0.5330723644385521
minus_temporal_attention,subgraph_f1,10,0.6804545454545454,0.2602192696407226,0.494304893850412,0.8666041970586789
minus_temporal_attention,fidelity,10,0.006286981923040003,0.005253043076029044,0.0025291812812412427,0.010044782564838763
minus_temporal_attention,stability,10,1.0,0.0,1.0,1.0
minus_temporal_attention,completeness,10,0.9999975025653839,3.7321001964206544e-06,0.9999948327817346,1.0000001723490333
minus_temporal_attention,latency_seconds,10,0.024984692950010868,0.017142958758179356,0.012721359013576976,0.03724802688644476
minus_temporal_stream,node_f1,10,0.6622861730510985,0.006087300293110453,0.6579315807477046,0.6666407653544923
minus_temporal_stream,edge_auroc,10,0.47672400000000004,0.07394264888712362,0.42382861547283207,0.529619384527168
minus_temporal_stream,subgraph_f1,10,0.5865384615384616,0.23916833799692602,0.4154477392628344,0.7576291838140887
minus_temporal_stream,fidelity,10,0.0012025939460727387,0.0011311004047147174,0.00039345346021385193,0.0020117344319316253
minus_temporal_stream,stability,10,1.0,0.0,1.0,1.0
minus_temporal_stream,completeness,10,0.9999994695186615,7.6302740629845e-07,0.9999989236817369,1.000000015355586
minus_temporal_stream,latency_seconds,10,0.022035433449991614,0.005352793263559052,0.018206275822671394,0.025864591077311833
