epoch,train_loss,validation_loss,train_total,train_node,train_edge,train_link_contrastive,train_subgraph,train_explanation,train_importance_alignment,train_temporal_consistency,train_cross_layer_consistency,validation_total,validation_node,validation_edge,validation_link_contrastive,validation_subgraph,validation_explanation,validation_importance_alignment,validation_temporal_consistency,validation_cross_layer_consistency
1,4.1271233558654785,2.941441297531128,4.1271233558654785,0.7068270444869995,0.7096272110939026,1.762594223022461,0.694840669631958,2.53232479095459,0.696656346321106,0.0,7.890449342085049e-05,2.941441297531128,0.6833549737930298,0.6962082386016846,0.7102888822555542,0.6931203007698059,1.5846805572509766,0.6932348012924194,0.0,4.710966095444746e-05
2,3.849891424179077,2.9344382286071777,3.849891424179077,0.7039085030555725,0.6975990533828735,1.5711673498153687,0.6910452842712402,1.8616969585418701,0.6874116659164429,0.0,7.967975398059934e-05,2.9344382286071777,0.6832333207130432,0.6941853165626526,0.7064061164855957,0.6929482817649841,1.5766453742980957,0.692352831363678,0.0,4.0449838706990704e-05
3,3.797703981399536,2.928009510040283,3.797703981399536,0.7340705394744873,0.6723179817199707,1.4922380447387695,0.6939982771873474,2.050776481628418,0.6615058779716492,0.0,7.441926572937518e-05,2.928009510040283,0.6830870509147644,0.6928129196166992,0.7019777894020081,0.6928194761276245,1.5731147527694702,0.6926455497741699,0.0,4.906039248453453e-05
4,3.7459990978240967,2.9156744480133057,3.7459990978240967,0.7284194231033325,0.6627296209335327,1.46916663646698,0.692274808883667,1.9340691566467285,0.6544743180274963,0.0,8.914528007153422e-05,2.9156744480133057,0.6829071044921875,0.6918261647224426,0.699317455291748,0.6928049325942993,1.4881747961044312,0.693657636642456,0.0,5.754628364229575e-05
5,3.648502826690674,2.9304308891296387,3.648502826690674,0.7245017886161804,0.6617186069488525,1.4001562595367432,0.6894057393074036,1.727185845375061,0.6546499729156494,0.0,9.591478738002479e-05,2.9304308891296387,0.6826061606407166,0.6912550330162048,0.6970123648643494,0.6928246021270752,1.6673150062561035,0.694995105266571,0.0,6.388893234543502e-05
6,3.4423506259918213,2.957169532775879,3.4423506259918213,0.678554892539978,0.6239760518074036,1.2886161804199219,0.690904438495636,1.602973222732544,0.6135275363922119,0.0,8.697099838173017e-05,2.957169532775879,0.682425320148468,0.6910095810890198,0.6952675580978394,0.6928752660751343,1.955904483795166,0.696241021156311,0.0,7.37446898710914e-05
7,3.454022169113159,2.9658327102661133,3.454022169113159,0.7084588408470154,0.6281053423881531,1.2526965141296387,0.692137598991394,1.7262165546417236,0.6306189298629761,0.0,0.00010738510172814131,2.9658327102661133,0.6823760271072388,0.6911513805389404,0.6940908432006836,0.692938506603241,2.0527381896972656,0.697306215763092,0.0,9.381864219903946e-05
8,3.2448537349700928,2.945495843887329,3.2448537349700928,0.656416654586792,0.597176194190979,1.142547607421875,0.6916571855545044,1.5705361366271973,0.5949701070785522,0.0,0.0001213841896969825,2.945495843887329,0.6822962164878845,0.6915961503982544,0.6903047561645508,0.6930493116378784,1.8824732303619385,0.6989256739616394,0.0,0.00011235724377911538
9,3.3168206214904785,2.9217984676361084,3.3168206214904785,0.7091506719589233,0.6209223866462708,1.1411683559417725,0.6915792226791382,1.5399749279022217,0.6203407049179077,0.0,0.0001142478795372881,2.9217984676361084,0.6821962594985962,0.6924609541893005,0.6899093389511108,0.6930981874465942,1.6413123607635498,0.7007177472114563,0.0,0.00013669372128788382
10,3.202491521835327,2.9093074798583984,3.202491521835327,0.6745203733444214,0.5984656810760498,1.0912492275238037,0.690398097038269,1.4785492420196533,0.5922173857688904,0.0,0.00015077376156114042,2.9093074798583984,0.6820926070213318,0.6933452486991882,0.6860236525535583,0.6931334137916565,1.5470945835113525,0.7014408111572266,0.0,0.00016683743160683662
