epoch,train_loss,validation_loss,train_total,train_node,train_edge,train_link_contrastive,train_subgraph,train_explanation,train_importance_alignment,train_temporal_consistency,train_cross_layer_consistency,validation_total,validation_node,validation_edge,validation_link_contrastive,validation_subgraph,validation_explanation,validation_importance_alignment,validation_temporal_consistency,validation_cross_layer_consistency
1,3.7735586166381836,2.9568207263946533,3.7735586166381836,0.6997576355934143,0.7078914642333984,1.4849554300308228,0.69256192445755,1.8839234113693237,0.680971622467041,0.0,0.0,2.9568207263946533,0.6848210692405701,0.6914898753166199,0.6999351382255554,0.6929599642753601,1.8761460781097412,0.6920711398124695,0.0,0.0
2,3.727907419204712,2.9261350631713867,3.727907419204712,0.7168799638748169,0.7128764986991882,1.420759916305542,0.6957366466522217,1.8165454864501953,0.6923457980155945,0.0,0.0,2.9261350631713867,0.6848313808441162,0.6896576881408691,0.6962438821792603,0.6929162740707397,1.624856948852539,0.6930527687072754,0.0,0.0
3,3.692667245864868,2.9056551456451416,3.692667245864868,0.7209842205047607,0.6504453420639038,1.4615052938461304,0.6925182342529297,1.6721420288085938,0.629863440990448,0.0,0.0,2.9056551456451416,0.6849378347396851,0.6888867616653442,0.6932158470153809,0.6929197907447815,1.4569487571716309,0.6934398412704468,0.0,0.0
4,3.533358335494995,2.902425527572632,3.533358335494995,0.720653235912323,0.6470587253570557,1.3128618001937866,0.6927281022071838,1.6005630493164062,0.635568380355835,0.0,0.0,2.902425527572632,0.6850032806396484,0.6886042356491089,0.6913774609565735,0.692934513092041,1.4450597763061523,0.692720353603363,0.0,0.0
5,3.451636552810669,2.9000918865203857,3.451636552810669,0.7029324769973755,0.6561105847358704,1.237289309501648,0.6926906108856201,1.6261343955993652,0.6369845271110535,0.0,0.0,2.9000918865203857,0.6850666999816895,0.688061535358429,0.6906852126121521,0.6928845047950745,1.4339392185211182,0.6918625235557556,0.0,0.0
6,3.3460898399353027,2.8968212604522705,3.3460898399353027,0.7123978734016418,0.6399664878845215,1.1400490999221802,0.6957076787948608,1.579686164855957,0.6177484393119812,0.0,0.0,2.8968212604522705,0.6852855086326599,0.6874144077301025,0.6883918642997742,0.6928701996803284,1.4285924434661865,0.6918884515762329,0.0,0.0
7,3.2810823917388916,2.8968069553375244,3.2810823917388916,0.7115987539291382,0.6428257822990417,1.079171061515808,0.6937034130096436,1.5378338098526,0.6163308620452881,0.0,0.0,2.8968069553375244,0.6854023337364197,0.6869855523109436,0.6888048052787781,0.692861795425415,1.4275249242782593,0.6926074028015137,0.0,0.0
8,3.273852825164795,2.897970676422119,3.273852825164795,0.7122159004211426,0.6847849488258362,1.028908371925354,0.6931692361831665,1.547747254371643,0.6599127054214478,0.0,0.0,2.897970676422119,0.685465931892395,0.686686635017395,0.6876316070556641,0.6928638815879822,1.4532248973846436,0.6943067908287048,0.0,0.0
9,3.1679296493530273,2.9086575508117676,3.1679296493530273,0.7125912308692932,0.6408423781394958,0.9785051345825195,0.6909898519515991,1.450009822845459,0.6112548112869263,0.0,0.0,2.9086575508117676,0.6855102181434631,0.6863318085670471,0.6883266568183899,0.6928720474243164,1.5561676025390625,0.6957588791847229,0.0,0.0
10,3.233476161956787,2.9187779426574707,3.233476161956787,0.7284097671508789,0.6310572028160095,1.0411484241485596,0.6918290853500366,1.41031813621521,0.5978273749351501,0.0,0.0,2.9187779426574707,0.6855764985084534,0.685973048210144,0.6858737468719482,0.6928596496582031,1.6849504709243774,0.6979618072509766,0.0,0.0
11,3.131596326828003,2.9265458583831787,3.131596326828003,0.7230055928230286,0.6228604316711426,0.9498903751373291,0.6912962198257446,1.4454377889633179,0.5923058986663818,0.0,0.0,2.9265458583831787,0.6855645775794983,0.6856610178947449,0.6855465769767761,0.6928351521492004,1.7693850994110107,0.6991497874259949,0.0,0.0
12,2.992321014404297,2.9270784854888916,2.992321014404297,0.6707057952880859,0.6179318428039551,0.8737322688102722,0.6899501085281372,1.4000074863433838,0.5834599137306213,0.0,0.0,2.9270784854888916,0.6854241490364075,0.6857687830924988,0.6842550039291382,0.6928068399429321,1.7882370948791504,0.7003476023674011,0.0,0.0
13,2.9904823303222656,2.925260066986084,2.9904823303222656,0.6890926957130432,0.623792827129364,0.8480105400085449,0.6924617886543274,1.3712449073791504,0.5807757377624512,0.0,0.0,2.925260066986084,0.6851868033409119,0.6862460970878601,0.6858193278312683,0.6927682161331177,1.752394437789917,0.7017937302589417,0.0,0.0
14,3.0588207244873047,2.9156956672668457,3.0588207244873047,0.7459849119186401,0.6348358988761902,0.853283166885376,0.6865322589874268,1.3818461894989014,0.5911411643028259,0.0,0.0,2.9156956672668457,0.6849291324615479,0.6867631077766418,0.6834074854850769,0.6927167177200317,1.6787911653518677,0.7019265294075012,0.0,0.0
15,2.9826364517211914,2.909806728363037,2.9826364517211914,0.7073093056678772,0.627903938293457,0.8231039643287659,0.6902512311935425,1.3406789302825928,0.5752875208854675,0.0,0.0,2.909806728363037,0.6846535801887512,0.6873601675033569,0.6827662587165833,0.692638099193573,1.623885154724121,0.7023565769195557,0.0,0.0
16,2.8739330768585205,2.905785322189331,2.8739330768585205,0.7030478715896606,0.5743004679679871,0.7764806747436523,0.6895791292190552,1.305248498916626,0.5289856195449829,0.0,0.0,2.905785322189331,0.6843532919883728,0.6881378293037415,0.6813014149665833,0.6925428509712219,1.5944998264312744,0.7047944664955139,0.0,0.0
17,2.8880043029785156,2.904484748840332,2.8880043029785156,0.6832343339920044,0.5837839245796204,0.8011481761932373,0.6896034479141235,1.3023433685302734,0.5353299975395203,0.0,0.0,2.904484748840332,0.6839687824249268,0.6890211701393127,0.6802026033401489,0.6924160718917847,1.5887606143951416,0.7081965208053589,0.0,0.0
