campaign_id,campaign_index
train:g120,0
train:g160,1
train:g185,2
train:g202,3
train:g206,4
train:g23,5
train:g235,6
train:g244,7
train:g250,8
train:g301,9
train:g310,10
train:g316,11
train:g323,12
train:g331,13
train:g334,14
train:g339,15
train:g342,16
train:g343,17
train:g350,18
train:g354,19
train:g360,20
train:g362,21
train:g368,22
train:g369,23
train:g383,24
train:g386,25
train:g390,26
train:g391,27
train:g399,28
train:g405,29
train:g435,30
train:g441,31
train:g446,32
train:g464,33
train:g470,34
train:g472,35
train:g48,36
train:g484,37
train:g556,38
train:g564,39
