campaign_id,campaign_index
train:window_0,0
train:window_1,1
train:window_10,2
train:window_11,3
train:window_12,4
train:window_13,5
train:window_14,6
train:window_15,7
train:window_16,8
train:window_17,9
train:window_18,10
train:window_19,11
train:window_2,12
train:window_20,13
train:window_21,14
train:window_22,15
train:window_23,16
train:window_24,17
train:window_25,18
train:window_26,19
train:window_27,20
train:window_28,21
train:window_29,22
train:window_3,23
train:window_30,24
train:window_31,25
train:window_32,26
train:window_33,27
train:window_34,28
train:window_35,29
train:window_36,30
train:window_37,31
train:window_38,32
train:window_39,33
train:window_4,34
train:window_5,35
train:window_6,36
train:window_7,37
train:window_8,38
train:window_9,39
