metric,matched_seeds,paired_difference,ci95_low,ci95_high,paired_effect_dz,exact_sign_flip_pvalue_two_sided,dataset,candidate,reference,holm_pvalue_within_metric
node_f1,10,-0.0002740598012222293,-0.002701612161008038,0.0021534925585635794,-0.0807605943752198,1.0,cadets,minus_consistency_regularization,full,1.0
edge_auroc,10,0.034494999999999984,-0.04254144655254952,0.11153144655254948,0.32031898634661793,0.3515625,cadets,minus_consistency_regularization,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,cadets,minus_consistency_regularization,full,1.0
explanation_fidelity,10,,,,,0.0,cadets,minus_consistency_regularization,full,0.0
node_f1,10,-0.03634873558162109,-0.1481728210768768,0.0754753499136346,-0.23252878757249001,0.65625,cadets,minus_gating_mechanism,full,1.0
edge_auroc,10,-0.007557500000000017,-0.07679793144690561,0.06168293144690557,-0.0780802445030825,0.810546875,cadets,minus_gating_mechanism,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,cadets,minus_gating_mechanism,full,1.0
explanation_fidelity,10,0.0006647054236054819,-0.001033824446546264,0.0023632352937572277,0.27994892734494947,0.5625,cadets,minus_gating_mechanism,full,1.0
node_f1,10,-0.02019148817850645,-0.04177773881861441,0.0013947624616015078,-0.6691352171869059,0.03125,cadets,minus_heterogeneous_stream,full,0.84375
edge_auroc,10,0.007260000000000011,-0.0011957242289820456,0.01571572422898207,0.614198263413831,0.080078125,cadets,minus_heterogeneous_stream,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,cadets,minus_heterogeneous_stream,full,1.0
explanation_fidelity,10,,,,,0.0,cadets,minus_heterogeneous_stream,full,0.0
node_f1,10,-0.0005858624766612592,-0.0016761070345436724,0.000504382081221154,-0.38440986987610415,0.5,cadets,minus_joint_optimization,full,1.0
edge_auroc,10,5.500000000001337e-05,-0.00012419654798077382,0.00023419654798080057,0.21956131561537956,0.5234375,cadets,minus_joint_optimization,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,cadets,minus_joint_optimization,full,1.0
explanation_fidelity,10,-8.398828322241825e-05,-0.0002557588342337872,8.778226778895073e-05,-0.3497782249053878,0.1875,cadets,minus_joint_optimization,full,1.0
node_f1,10,-0.0005858624766612592,-0.0016761070345436724,0.000504382081221154,-0.38440986987610415,0.5,cadets,minus_prototype_learning,full,1.0
edge_auroc,10,5.2499999999996994e-05,-0.00010822330802080738,0.00021322330802080137,0.23367013799016867,0.5,cadets,minus_prototype_learning,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,cadets,minus_prototype_learning,full,1.0
explanation_fidelity,10,-8.626890848972463e-05,-0.00025757468429608686,8.50368673166376e-05,-0.3602508973686561,0.125,cadets,minus_prototype_learning,full,1.0
node_f1,10,6.26398210290799e-05,-7.90612987882508e-05,0.00020434094084641058,0.31622776601683794,1.0,cadets,minus_temporal_attention,full,1.0
edge_auroc,10,-9.125000000001215e-05,-0.0004990454858563658,0.0003165454858563415,-0.1600712120016588,0.63671875,cadets,minus_temporal_attention,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,cadets,minus_temporal_attention,full,1.0
explanation_fidelity,10,2.4731481971735802e-06,-6.149864982221284e-07,5.561282892569289e-06,0.5728971747815292,0.03125,cadets,minus_temporal_attention,full,0.34375
node_f1,10,0.011096891581466263,-0.004737721580760404,0.02693150474369293,0.5013218792452866,0.1015625,cadets,minus_temporal_stream,full,1.0
edge_auroc,10,0.06062125,-0.008286904678867557,0.12952940467886756,0.6293279806747372,0.001953125,cadets,minus_temporal_stream,full,0.0546875
subgraph_f1,10,0.0,0.0,0.0,,1.0,cadets,minus_temporal_stream,full,1.0
explanation_fidelity,10,-0.0004333182150730878,-0.0010228915765901896,0.00015625514644401398,-0.5257652361324056,0.15625,cadets,minus_temporal_stream,full,1.0
node_f1,10,0.00039214662785302945,-0.0002987454148018705,0.0010830386705079293,0.40603275340934086,0.5,streamspot,minus_consistency_regularization,full,1.0
edge_auroc,10,0.002168000000000031,-0.001003814756920656,0.005339814756920718,0.4889610179032294,0.216796875,streamspot,minus_consistency_regularization,full,1.0
subgraph_f1,10,0.004365079365079361,-0.04736317810618968,0.05609333683634841,0.06036525917490874,1.0,streamspot,minus_consistency_regularization,full,1.0
explanation_fidelity,10,0.00018858965486289012,-0.00027166956396145657,0.0006488488736872368,0.2931150675165058,0.421875,streamspot,minus_consistency_regularization,full,1.0
node_f1,10,-0.0028212762638518017,-0.012703148550996947,0.007060596023293344,-0.20423452159191596,0.578125,streamspot,minus_gating_mechanism,full,1.0
edge_auroc,10,0.004480000000000028,-0.04421245417630193,0.05317245417630198,0.06581715777037864,0.83984375,streamspot,minus_gating_mechanism,full,1.0
subgraph_f1,10,-0.012428127428127411,-0.21458912784952117,0.18973287299326635,-0.04397755633115443,0.91015625,streamspot,minus_gating_mechanism,full,1.0
explanation_fidelity,10,0.005717394687235361,-0.004693875640119907,0.016128665014590628,0.392841377187904,0.26171875,streamspot,minus_gating_mechanism,full,1.0
node_f1,10,-0.002434495617568022,-0.010845486751765134,0.005976495516629089,-0.2070544629992461,0.84375,streamspot,minus_heterogeneous_stream,full,1.0
edge_auroc,10,0.011347200000000024,-0.03182488470862104,0.05451928470862109,0.1880219113396068,0.62109375,streamspot,minus_heterogeneous_stream,full,1.0
subgraph_f1,10,-0.2186829836829837,-0.38879449392083487,-0.04857147344513249,-0.9196108033910346,0.015625,streamspot,minus_heterogeneous_stream,full,0.40625
explanation_fidelity,10,0.0015047770924866105,-0.004022478311565419,0.007032032496538639,0.19475356327257964,0.59375,streamspot,minus_heterogeneous_stream,full,1.0
node_f1,10,0.001905810646254591,-1.888464795372761e-05,0.0038305059404629095,0.7083379958236012,0.0625,streamspot,minus_joint_optimization,full,1.0
edge_auroc,10,-0.004121599999999959,-0.025364543490149,0.017121343490149085,-0.13879503210164476,0.712890625,streamspot,minus_joint_optimization,full,1.0
subgraph_f1,10,0.103989898989899,-0.07775769018648385,0.28573748816628186,0.40930332408108044,0.25,streamspot,minus_joint_optimization,full,1.0
explanation_fidelity,10,0.00354109444015194,-0.001032049984290611,0.00811423886459449,0.5539178576818719,0.1171875,streamspot,minus_joint_optimization,full,1.0
node_f1,10,-0.0019311723928317926,-0.007778688615351293,0.003916343829687708,-0.2362503078677879,0.65625,streamspot,minus_prototype_learning,full,1.0
edge_auroc,10,-0.002095999999999959,-0.02292951775108318,0.018737517751083264,-0.07196999051379713,0.845703125,streamspot,minus_prototype_learning,full,1.0
subgraph_f1,10,0.11732323232323232,-0.060007663006578296,0.29465412765304294,0.473284614714941,0.125,streamspot,minus_prototype_learning,full,1.0
explanation_fidelity,10,0.00386009207286404,-0.0008836835005206177,0.008603867646248698,0.5820982631426861,0.1171875,streamspot,minus_prototype_learning,full,1.0
node_f1,10,-0.0033766210638706217,-0.010648433782889823,0.003895191655148579,-0.33217153551936573,0.375,streamspot,minus_temporal_attention,full,1.0
edge_auroc,10,-0.001870399999999961,-0.005461332240228036,0.001720532240228115,-0.3726061834133971,0.33203125,streamspot,minus_temporal_attention,full,1.0
subgraph_f1,10,-0.012727272727272731,-0.041518363890158984,0.016063818435613525,-0.31622776601683794,1.0,streamspot,minus_temporal_attention,full,1.0
explanation_fidelity,10,1.381066394970001e-05,-0.0008985041832464895,0.0009261255111458895,0.010829105612849289,0.96875,streamspot,minus_temporal_attention,full,1.0
node_f1,10,-0.0031279142626780996,-0.01458329853916187,0.008327470013805672,-0.19532955116000192,0.9140625,streamspot,minus_temporal_stream,full,1.0
edge_auroc,10,-0.01665359999999999,-0.05567795746684178,0.0223707574668418,-0.30527774299411636,0.365234375,streamspot,minus_temporal_stream,full,1.0
subgraph_f1,10,-0.10664335664335664,-0.22666786885117146,0.013381155564458194,-0.6356040132754699,0.03125,streamspot,minus_temporal_stream,full,0.78125
explanation_fidelity,10,-0.00507057731301756,-0.009347585692808674,-0.0007935689332264463,-0.848086366925108,0.02734375,streamspot,minus_temporal_stream,full,0.328125
node_f1,10,0.0,0.0,0.0,,1.0,theia,minus_consistency_regularization,full,1.0
edge_auroc,10,-2.9999999999996697e-05,-8.044266685571201e-05,2.0442666855718613e-05,-0.4254475133224645,0.25,theia,minus_consistency_regularization,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,theia,minus_consistency_regularization,full,1.0
