,,node_f1,node_f1,edge_auroc,edge_auroc,subgraph_f1,subgraph_f1,explanation_fidelity,explanation_fidelity,stability,stability,completeness,completeness,latency_seconds,latency_seconds
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,ablation,,,,,,,,,,,,,,
cadets,full,0.11738464146700674,0.14509960583969528,0.551755,0.21685236554957024,1.0,0.0,0.0006311618629297128,0.0010110526714044092,0.9425387144088745,0.061567683438713834,0.9999640882015228,0.00011287365380213281,0.01249370084999551,0.006468261577712498
cadets,minus_consistency_regularization,0.11711058166578452,0.14560415105824756,0.5862499999999999,0.2282624473300659,1.0,0.0,0.0006317000762565767,0.0009374212239871692,0.9364581121338738,0.0707120812143238,0.9999276200930277,0.0002136469771986219,0.01731250966668081,0.0076389608244915065
cadets,minus_gating_mechanism,0.08103590588538565,0.11441411085097002,0.5441974999999999,0.2632917787492508,1.0,0.0,0.0012958672865351945,0.0028886035121745714,0.9448140060901642,0.06799010353765166,0.9999575614929199,0.00010668858463012966,0.01271538390001293,0.004829614960852873
cadets,minus_heterogeneous_stream,0.09719315328850028,0.12807743091182885,0.559015,0.22033298827507022,1.0,0.0,0.0004108787397853667,0.0007118616306891394,0.9442936235004002,0.07321913632299161,0.9999810059865316,3.5173104405418925e-05,0.012128975333351022,0.005329649261639828
cadets,minus_joint_optimization,0.11679877899034548,0.1452136381859638,0.55181,0.21691508137466556,1.0,0.0,0.0005471735797072946,0.0008658725134936052,0.9245174276828767,0.08957088784487274,0.9999402284622192,0.00017582858746305896,0.014708303999986998,0.009148148532086092
cadets,minus_prototype_learning,0.11679877899034548,0.1452136381859638,0.5518075,0.21689927195269953,1.0,0.0,0.0005448929544399881,0.0008656542335071551,0.9431158208847046,0.06136259826285909,0.9999436438083649,0.00017693804815453049,0.01386980074996694,0.007239861618545825
cadets,minus_temporal_attention,0.11744728128803583,0.14508820393050575,0.55166375,0.2167691141970914,1.0,0.0,0.0006336350111268864,0.001013425703221137,0.9416779923439027,0.06456330945450074,0.999963128566742,0.00011572078072600575,0.00889182310002066,0.0034172284262137848
cadets,minus_temporal_stream,0.128481533048473,0.15713779649537143,0.61237625,0.22593713853897626,1.0,0.0,0.00019784364785662505,0.00040070718995132906,0.9229309773445129,0.06389981511562239,0.9999978899955749,3.5944670412070846e-06,0.013122040350003718,0.008790157834368699
streamspot,full,0.6654140873137765,0.010795834327825011,0.49337759999999997,0.05802037389898291,0.6931818181818181,0.2589564073534984,0.006273171259090269,0.005813985337881876,1.0,0.0,0.9999959766864777,3.934433328657763e-06,0.028760930550060897,0.014029876980147751
streamspot,minus_consistency_regularization,0.6658062339416295,0.010995006008063074,0.4955456,0.058116277473508025,0.6975468975468975,0.2692642239265589,0.00646176091395316,0.005879877431194268,1.0,0.0,0.9999959170818329,4.063159250152162e-06,0.03281269124997827,0.010431642216141384
