metric,matched_seeds,paired_difference,ci95_low,ci95_high,paired_effect_dz,exact_sign_flip_pvalue_two_sided,dataset,candidate,reference,holm_pvalue_within_metric
f1,10,0.09974684619141622,-0.003479528066038448,0.2029732204488709,0.6912438394267276,0.02734375,cadets,xthgnn,gat,0.35546875
auroc,10,0.2909937888198758,-0.005265290238088527,0.5872528678778401,0.70264316316915,0.05859375,cadets,xthgnn,gat,0.52734375
auprc,10,0.3405668586030908,0.09450566666041568,0.5866280505457659,0.9901067792243062,0.01953125,cadets,xthgnn,gat,0.21484375
f1,10,-0.1769437189597518,-0.3388975243202448,-0.01498991359925883,-0.7815679973943256,0.0546875,cadets,xthgnn,gcn,0.6015625
auroc,10,-0.09792960662525876,-0.4189176770001677,0.2230584637496502,-0.21824680374116937,0.515625,cadets,xthgnn,gcn,1.0
auprc,10,-0.08396715179360285,-0.2637308487944067,0.095796545207201,-0.3341413361674036,0.408203125,cadets,xthgnn,gcn,1.0
f1,10,0.027637867023151564,-0.0875848065231848,0.14286054056948794,0.1715889627692032,0.609375,cadets,xthgnn,rgcn,1.0
auroc,10,-0.01230733839429492,-0.43312637672083504,0.4085116999322452,-0.02092143822553269,0.95703125,cadets,xthgnn,rgcn,1.0
auprc,10,0.2402914916509343,-0.0064974933399206125,0.4870804766417892,0.6965228938595373,0.08984375,cadets,xthgnn,rgcn,0.5390625
f1,10,0.028938698869123536,-0.14859269648851456,0.20647009422676163,0.11660753324294944,0.6640625,cadets,xthgnn,temporal_gat,1.0
auroc,10,0.08447204968944101,-0.31403253518860363,0.48297663456748563,0.15163605740027206,0.609375,cadets,xthgnn,temporal_gat,1.0
auprc,10,0.26797530355455657,-0.03626932981045683,0.57221993691957,0.6300784401917459,0.0625,cadets,xthgnn,temporal_gat,0.4375
f1,10,-0.002805648875900191,-0.01183143259467605,0.006220134842875668,-0.2223674266566896,0.5,streamspot,xthgnn,gat,1.0
auroc,10,-0.04980743508140771,-0.10855417702729313,0.008939306864477706,-0.606503296591175,0.087890625,streamspot,xthgnn,gat,0.703125
auprc,10,-0.013655726188021888,-0.06571017556330527,0.038398723187261494,-0.18766345916405605,0.546875,streamspot,xthgnn,gat,1.0
f1,10,0.010064517619841118,-0.007465541610715325,0.02759457685039756,0.41070723663426234,0.2265625,streamspot,xthgnn,gcn,1.0
auroc,10,-0.04882327844656612,-0.11280775371997193,0.015161196826839689,-0.5458522439957599,0.12109375,streamspot,xthgnn,gcn,0.84765625
auprc,10,-0.016620488789205717,-0.09057457676229395,0.05733359918388252,-0.160769766240548,0.611328125,streamspot,xthgnn,gcn,1.0
f1,10,0.0009218662887168106,-0.026448953477660287,0.02829268605509391,0.024093666965182246,0.9453125,streamspot,xthgnn,rgcn,1.0
auroc,10,-0.07852670541026709,-0.12579005039876978,-0.031263360421764384,-1.1885451829959046,0.01171875,streamspot,xthgnn,rgcn,0.12890625
auprc,10,-0.06597371822565501,-0.11868299700487164,-0.013264439446438368,-0.8953784995421715,0.029296875,streamspot,xthgnn,rgcn,0.263671875
f1,10,0.008914769172516546,-0.003211113047641106,0.0210406513926742,0.5259198115987628,0.1484375,streamspot,xthgnn,temporal_gat,1.0
auroc,10,0.03641610165582767,-0.03289384812987584,0.10572605144153119,0.3758552688116286,0.255859375,streamspot,xthgnn,temporal_gat,1.0
auprc,10,0.04723636815430833,-0.014682228473460915,0.10915496478207758,0.5457304269231891,0.1171875,streamspot,xthgnn,temporal_gat,0.5859375
f1,10,0.2359952465834818,0.008293285845441867,0.46369720732152175,0.7414113996759291,0.06640625,theia,xthgnn,gat,0.625
auroc,10,0.03530294970571579,-0.027730853258324667,0.09833675266975625,0.4006454899687056,0.484375,theia,xthgnn,gat,1.0
auprc,10,0.15639922126143985,-0.05121293861067172,0.3640113811335514,0.5388955207957159,0.021484375,theia,xthgnn,gat,0.21484375
f1,10,0.2592612694105231,0.03046238209982194,0.4880601567212242,0.8105998315965777,0.0390625,theia,xthgnn,gcn,0.46875
auroc,10,-0.006693892959486613,-0.01238047540716309,-0.001007310511810136,-0.8420738818890663,0.021484375,theia,xthgnn,gcn,0.21484375
auprc,10,-0.0001858472103791864,-0.006152190001853085,0.0057804955810947115,-0.022282843954276273,0.953125,theia,xthgnn,gcn,1.0
f1,10,0.8818181818181818,0.6601724800086608,1.1034638836277029,2.846049894151541,0.00390625,theia,xthgnn,rgcn,0.0625
auroc,10,-0.00969336101721091,-0.015507685432693697,-0.0038790366017281246,-1.192608504483126,0.0078125,theia,xthgnn,rgcn,0.1015625
auprc,10,-0.012455570641711345,-0.018421735749040193,-0.006489405534382498,-1.4934515414949538,0.00390625,theia,xthgnn,rgcn,0.05859375
f1,10,0.19836166286289664,-0.04440680968332231,0.4411301354091156,0.5845049973768016,0.125,theia,xthgnn,temporal_gat,1.0
auroc,10,0.11500592000274552,0.05369517959592159,0.17631666040956945,1.3418575367965555,0.005859375,theia,xthgnn,temporal_gat,0.087890625
auprc,10,0.44821314191412454,0.2192121585261015,0.6772141253021475,1.4001353254968072,0.001953125,theia,xthgnn,temporal_gat,0.03125
f1,10,0.20012791104796715,-0.015084521641619358,0.4153403437375537,0.6652166022961061,0.0625,trace,xthgnn,gat,0.625
auroc,10,0.021917808219178082,0.01066417339917202,0.033171443039184144,1.3932436696325277,0.005859375,trace,xthgnn,gat,0.087890625
auprc,10,0.2444018130829672,0.05617260855800793,0.4326310176079265,0.9288384619267144,0.00390625,trace,xthgnn,gat,0.05859375
f1,10,0.027418076227537714,-0.14488973756234041,0.19972589001741586,0.1138294877428906,0.744140625,trace,xthgnn,gcn,1.0
auroc,10,-0.01245923026744944,-0.021406719526604313,-0.0035117410082945635,-0.996122616831231,0.0078125,trace,xthgnn,gcn,0.1015625
auprc,10,-0.5865217823112558,-0.833315278151676,-0.33972828647083564,-1.7000950776672026,0.0078125,trace,xthgnn,gcn,0.09375
f1,10,-0.49591211655727774,-0.7528515069694905,-0.23897272614506493,-1.3806919864044158,0.0078125,trace,xthgnn,rgcn,0.1171875
auroc,10,-0.011480756686236137,-0.0202913188226833,-0.0026701945497889755,-0.9321582952458142,0.00390625,trace,xthgnn,rgcn,0.0625
auprc,10,-0.596819401358875,-0.7992780782361699,-0.39436072448158016,-2.108770475854221,0.00390625,trace,xthgnn,rgcn,0.05859375
f1,10,0.3207545501093888,0.0991065362679355,0.5424025639508421,1.035217859910061,0.0078125,trace,xthgnn,temporal_gat,0.1171875
auroc,10,0.005544683626875402,-0.004787728578424426,0.015877095832175232,0.38388206404243935,0.26953125,trace,xthgnn,temporal_gat,1.0
auprc,10,0.15888441960229885,-0.03985478623031369,0.3576236254349114,0.5719005786375856,0.04296875,trace,xthgnn,temporal_gat,0.34375
