n,prevalence,threshold,accuracy,f1,precision,recall,auroc,auprc,brier_score,model,seed,best_epoch,epochs_executed,parameter_count,primary_outcome,implementation_scope,dataset
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.4002760524499655,0.01094010173544767,0.2325651432546265,gat,11,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.2620197837589142,0.008571382610599646,0.25391330908721044,gat,110,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5236161947250366,0.9506369426751592,0.0,0.0,0.0,0.31446974925235793,0.009127426731036269,0.27207449602300465,gat,22,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.401656314699793,0.010372450167843534,0.2657234492010242,gat,33,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.2475270301357258,0.00886378238715935,0.2149721324081975,gat,44,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5429339408874512,0.9872611464968153,0.0,0.0,0.0,0.8298826777087647,0.0639356118482089,0.2914076350676733,gat,55,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.33011272141706927,0.009272956349792623,0.21472081245743954,gat,66,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.35725787899700945,0.009684771328334037,0.2601042502740353,gat,77,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.32390154129284565,0.009215794959978789,0.2698884239323413,gat,88,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.2360248447204969,0.008216110753784542,0.20781581164815657,gat,99,1,11,4009,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.53,0.9888535031847133,0.0,0.0,0.0,0.9243156199677939,0.1592658430893725,0.24684838479262197,gcn,11,1,11,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.61,0.9792993630573248,0.43478260869565216,0.3125,0.7142857142857143,0.8787669657234873,0.6233665559246955,0.3055016724288316,gcn,110,4,14,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.6030661463737488,0.9792993630573248,0.43478260869565216,0.3125,0.7142857142857143,0.9786059351276742,0.6357324032974001,0.2751815378162151,gcn,22,10,20,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
