,,n,n,prevalence,prevalence,threshold,threshold,accuracy,accuracy,f1,f1,precision,precision,recall,recall,auroc,auroc,auprc,auprc,brier_score,brier_score,best_epoch,best_epoch,epochs_executed,epochs_executed,parameter_count,parameter_count
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,model,,,,,,,,,,,,,,,,,,,,,,,,,,
cadets,gat,628.0,0.0,0.011146496815286623,0.0,0.14665501356124877,0.20381752555749066,0.20270700636942673,0.4039372639653695,0.01763779527559055,0.009295934329103897,0.008917197452229299,0.004699775715749184,0.8,0.4216370213557839,0.37031285944329423,0.1715875516791772,0.014820038887218537,0.017276392078624463,0.24831854633537093,0.028846030794805702,1.0,0.0,11.0,0.0,4009.0,0.0
cadets,gcn,628.0,0.0,0.011146496815286623,0.0,0.5600426645278931,0.0346622038024407,0.976592356687898,0.01906473571139805,0.2943283604267586,0.22004251037677516,0.2139468051371492,0.16639128162058794,0.5142857142857143,0.35761873058130644,0.7592362548884288,0.322658517643335,0.4393540492839122,0.27142717547709505,0.27207907839340617,0.02743318233595029,3.9,2.766867462592951,13.9,2.766867462592951,961.0,0.0
cadets,rgcn,628.0,0.0,0.011146496815286623,0.0,0.3881079128980637,0.24519379852386317,0.4313694267515923,0.4637276652170053,0.0897467744438552,0.1216294722435233,0.05575393519688918,0.08066832378982587,0.7142857142857143,0.3749527559053243,0.6736139866574649,0.3395384315489504,0.11509540583937503,0.190092233727696,0.2339589799281036,0.026777619133992576,1.2,0.6324555320336759,11.2,0.6324555320336758,15169.0,0.0
cadets,temporal_gat,628.0,0.0,0.011146496815286623,0.0,0.3120014193058014,0.22862480950554293,0.3485668789808917,0.4270449090216839,0.08844594259788323,0.1894980955978296,0.06880530259856107,0.17131549474924168,0.8714285714285713,0.31908315367144674,0.576834598573729,0.2448671951112596,0.08741159393575275,0.17607374207940332,0.2514245016918077,0.03374299062128296,1.0,0.0,11.0,0.0,7585.0,0.0
streamspot,gat,589.0,0.0,0.4957555178268251,0.0,0.4233626071214676,0.136647649430115,0.5341256366723259,0.028105751776488757,0.6682197361896767,0.010681617333311955,0.5184640623834553,0.020809708382876255,0.9482876712328767,0.07717857468819268,0.5787186937871869,0.04287528719449088,0.5701415448029701,0.045275724960290586,0.24688747806900485,0.0025229636748635882,19.1,13.61739084161622,29.1,13.61739084161622,3817.0,0.0
streamspot,gcn,589.0,0.0,0.4957555178268251,0.0,0.41872647881507874,0.14525466569430603,0.5385398981324279,0.04371830374536803,0.6553495696939354,0.024316495764432514,0.5249328860632607,0.03292503994531989,0.8904109589041095,0.11990105941096695,0.5777345371523454,0.08236068107633013,0.5731063074041538,0.09181727907087202,0.24810781886688343,0.0024427755518864796,20.3,19.131416861045892,28.2,15.838069467092396,913.0,0.0
streamspot,rgcn,589.0,0.0,0.4957555178268251,0.0,0.48198784899711605,0.02590060159337476,0.5528013582342954,0.048671378353114,0.6644922210250597,0.036529334923556846,0.5312067187277302,0.03110424313367338,0.8982876712328768,0.10882594382352741,0.6074379641160463,0.045420818177240946,0.6224595368406032,0.06571592076970213,0.2452390539495803,0.0017957157594498448,14.2,5.181162460726786,24.2,5.181162460726786,15193.0,0.0
streamspot,temporal_gat,589.0,0.0,0.4957555178268251,0.0,0.4063283687829971,0.18969341731431766,0.4940577249575552,0.01694015794804273,0.65649931814126,0.015696575712063798,0.49468570963503805,0.009093803476360199,0.976027397260274,0.03702574141604305,0.4924951570499516,0.09901594744849841,0.5092494504606397,0.09107364207531043,0.25180969341525244,0.0027613935561108163,1.2,0.6324555320336759,11.2,0.632455532033676,7249.0,0.0
