dataset,model,seed,f1,auroc,auprc,edge_f1_derived,edge_auroc_derived,subgraph_f1_derived,explanation_fidelity,explanation_stability,deletion_auc,insertion_probability_auc,normalized_insertion_gain_auc,epochs_executed,best_epoch,reached_epoch_limit
cadets,xthgnn,11,0.0,0.05244996549344377,0.006544211944202933,0.37168141592920356,0.46772500000000006,1.0,0.0,1.0,0.0,0.45636722445487976,0.0,11,1,False
cadets,xthgnn,110,0.47619047619047616,0.8865884518058431,0.706828020464384,0.3992015968063872,0.783675,1.0,1.0145561645913403e-05,0.808432149887085,1.789757193364494e-05,0.44245072454214096,-0.3710204854607582,11,1,False
cadets,xthgnn,22,0.06140350877192982,0.9753853232114101,0.702618016903731,0.39416058394160586,0.689825,1.0,0.0,0.9496297717094422,-0.0016530320164747537,0.5737883538007735,-0.9340965509414672,11,1,False
cadets,xthgnn,33,0.024844720496894408,0.583160800552105,0.017095939370455615,0.6432748538011696,0.8452999999999999,1.0,0.0,0.9704353928565979,-0.00032657338597346096,0.518977490067482,-0.4956357449293137,11,1,False
cadets,xthgnn,44,0.02204724409448819,0.1529790660225443,0.0074220998809990035,0.333889816360601,0.53155,1.0,0.0,0.9530039668083191,-0.0005380848859203979,0.5212496161460877,-0.3309394896030426,11,1,False
cadets,xthgnn,55,0.10852713178294573,0.9804462847941109,0.7484094852515906,0.4271186440677966,0.64365,1.0,0.0018157284939661622,0.9023759961128235,0.0017246314615476876,0.48217020332813265,0.9560807704925536,11,1,False
cadets,xthgnn,66,0.1875,0.9804462847941109,0.6330863852390272,0.0,0.30895,1.0,3.584121441235766e-05,0.9751923084259033,3.52477298292797e-05,0.5412400782108306,-0.5522332221269608,11,1,False
cadets,xthgnn,77,0.0,0.106280193236715,0.006908905471841945,0.04316546762589928,0.140975,1.0,0.0024423401337116957,1.0,0.002320223127026111,0.4696670442819595,0.9142976284027099,11,1,False
cadets,xthgnn,88,0.2,0.977685760294456,0.635178463399879,0.34854771784232363,0.654425,1.0,2.7753272661357187e-05,0.8796155691146851,2.1539431782002793e-05,0.5389215052127838,-0.8425769597291946,11,1,False
cadets,xthgnn,99,0.09333333333333334,0.9176443524269612,0.08977744697698241,0.32093933463796476,0.451475,1.0,0.0019798099528998137,0.9867019891738892,0.0018831267138011754,0.4720939710736275,0.9348887801170349,11,1,False
streamspot,xthgnn,11,0.6605293440736478,0.44544186153775195,0.48956408226101383,0.6666666666666666,0.5299999999999999,0.75,0.002204321091994643,1.0,0.002094105037394911,0.5405884593725204,0.445114116370678,16,6,False
streamspot,xthgnn,110,0.6605293440736478,0.5281294681979615,0.5584350468869516,0.6648793565683646,0.5547839999999999,0.6666666666666666,0.010914413258433342,1.0,0.010368692595511673,0.4834494814276695,0.8156406313180923,28,18,False
streamspot,xthgnn,22,0.6613272311212814,0.4988296204049629,0.5336342185179741,0.6666666666666666,0.37547200000000003,0.8888888888888888,0.010479051619768143,1.0,0.009955099038779737,0.495928892493248,0.8008032798767091,32,22,False
streamspot,xthgnn,33,0.6621160409556314,0.46645104008117705,0.5193517492699223,0.6675603217158177,0.513616,0.8888888888888888,0.0,1.0,-0.016477438621222973,0.49189916253089905,-0.7446015685796739,38,28,False
